population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,2012,4844875.700340885,5235883.55560253,4443420.016342616
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,2012,4713200.256914769,5093581.186758896,4322655.452467587
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,2013,5066810.080543568,5503609.672257203,4626024.796395645
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,2013,4944138.109845662,5370362.395624443,4514024.628785186
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,2014,5296412.892899363,5807362.123548504,4797671.311788233
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,2014,5177263.464843235,5676718.253909247,4689741.698980434
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,2015,5528203.71277565,6110676.11485713,4995889.4960217485
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,2015,5412620.237653838,5982914.328679314,4891435.626505276
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,2016,5759205.369408071,6294645.313190601,5251002.201303378
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,2016,5654335.825395213,6180025.92711637,5155386.544083328
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,2017,5987529.567292377,6505301.675379354,5451144.420500143
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,2017,5906056.745756622,6416783.484950759,5376970.237050077
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,2012,3496811.166370109,3779022.871888405,3207058.6927392324
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,2012,3484120.7418606724,3765308.261006252,3195419.8211212987
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,2013,3700622.8502045735,4019646.165537146,3378688.522960808
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,2013,3658513.7447997443,3973906.9181384644,3340242.683732534
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,2014,3898411.700265553,4274494.626442762,3531314.1845452064
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,2014,3850293.2759858337,4221734.17889882,3487726.875850908
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,2015,4111498.246480065,4544701.215148998,3715599.491211295
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,2015,4061827.4570314353,4489796.923907271,3670711.5333576356
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,2016,4305897.108092543,4706221.312146304,3925936.6080747466
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,2016,4286150.469965943,4684638.806373003,3907932.4506224184
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,2017,4516389.659645281,4906944.8241309635,4111794.692166021
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,2017,4514418.366551814,4904803.063306323,4109999.994832696
1,All Population,44,Population,11,Indonesia,1,Male,18,65-69 years,1,Number,2012,2374485.3054450247,2566119.2015565448,2177730.9031857057
1,All Population,44,Population,11,Indonesia,2,Female,18,65-69 years,1,Number,2012,2627677.4813053766,2839745.364948346,2409943.0902021998
1,All Population,44,Population,11,Indonesia,1,Male,18,65-69 years,1,Number,2013,2471769.5401213043,2684855.8624370126,2256738.855771346
1,All Population,44,Population,11,Indonesia,2,Female,18,65-69 years,1,Number,2013,2706321.769327781,2939628.3715285254,2470886.2998457905
1,All Population,44,Population,11,Indonesia,1,Male,18,65-69 years,1,Number,2014,2608278.812043853,2859901.576220518,2362667.8438277226
1,All Population,44,Population,11,Indonesia,2,Female,18,65-69 years,1,Number,2014,2809184.89296358,3080189.229074768,2544655.4192459085
1,All Population,44,Population,11,Indonesia,1,Male,18,65-69 years,1,Number,2015,2760997.751274748,3051906.892088428,2495139.53913387
1,All Population,44,Population,11,Indonesia,2,Female,18,65-69 years,1,Number,2015,2930092.4605751596,3238818.057985377,2647952.0123924976
1,All Population,44,Population,11,Indonesia,1,Male,18,65-69 years,1,Number,2016,2930718.3014019816,3203190.5509384475,2672106.1787111782
1,All Population,44,Population,11,Indonesia,2,Female,18,65-69 years,1,Number,2016,3060878.7112780586,3345452.1237487304,2790780.98798475
1,All Population,44,Population,11,Indonesia,1,Male,18,65-69 years,1,Number,2017,3134998.8495275574,3406098.130946916,2854154.003719515
1,All Population,44,Population,11,Indonesia,2,Female,18,65-69 years,1,Number,2017,3224534.858030256,3503376.7730936105,2935669.0438872497
1,All Population,44,Population,11,Indonesia,1,Male,19,70-74 years,1,Number,2012,1609717.582717348,1739630.5585138137,1476333.2993665151
1,All Population,44,Population,11,Indonesia,2,Female,19,70-74 years,1,Number,2012,1920952.2307748788,2075983.5377210015,1761778.448116333
