population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,11,Indonesia,1,Male,6,5-9 years,1,Number,2006,12023922.84666839,13264884.246681672,10918691.895528069
1,All Population,44,Population,11,Indonesia,2,Female,6,5-9 years,1,Number,2006,11362193.739677418,12534859.60174415,10317788.48574452
1,All Population,44,Population,11,Indonesia,1,Male,6,5-9 years,1,Number,2007,12090210.742520591,13144349.374943743,11061305.663554348
1,All Population,44,Population,11,Indonesia,2,Female,6,5-9 years,1,Number,2007,11416053.286583045,12411412.511949172,10444520.5764869
1,All Population,44,Population,11,Indonesia,1,Male,6,5-9 years,1,Number,2008,12147190.834715016,13111186.077790115,11163219.654315248
1,All Population,44,Population,11,Indonesia,2,Female,6,5-9 years,1,Number,2008,11461463.228555089,12371039.457441797,10533038.734730592
1,All Population,44,Population,11,Indonesia,1,Male,6,5-9 years,1,Number,2009,12192218.818294436,13064510.510285486,11260509.562379941
1,All Population,44,Population,11,Indonesia,2,Female,6,5-9 years,1,Number,2009,11496463.529227536,12318977.443493566,10617922.745133972
1,All Population,44,Population,11,Indonesia,1,Male,6,5-9 years,1,Number,2010,12223076.226522889,13039833.693521466,11421146.615911169
1,All Population,44,Population,11,Indonesia,2,Female,6,5-9 years,1,Number,2010,11519765.989004945,12289527.603448594,10763979.04284689
1,All Population,44,Population,11,Indonesia,1,Male,6,5-9 years,1,Number,2011,12233600.118210202,13185921.35118859,11310017.17642366
1,All Population,44,Population,11,Indonesia,2,Female,6,5-9 years,1,Number,2011,11527383.700771516,12424729.711173873,10657116.988880789
1,All Population,44,Population,11,Indonesia,1,Male,7,10-14 years,1,Number,2006,11328877.89587942,12498105.306395069,10287535.012039747
1,All Population,44,Population,11,Indonesia,2,Female,7,10-14 years,1,Number,2006,10793012.600500794,11906934.587349668,9800926.096433926
1,All Population,44,Population,11,Indonesia,1,Male,7,10-14 years,1,Number,2007,11448587.193880046,12446783.032211471,10474285.772537306
1,All Population,44,Population,11,Indonesia,2,Female,7,10-14 years,1,Number,2007,10895544.808266953,11845521.193980243,9968308.581366166
1,All Population,44,Population,11,Indonesia,1,Male,7,10-14 years,1,Number,2008,11569071.47413438,12487187.441818774,10631930.280797696
1,All Population,44,Population,11,Indonesia,2,Female,7,10-14 years,1,Number,2008,10996584.050492618,11869267.690602655,10105816.634737082
1,All Population,44,Population,11,Indonesia,1,Male,7,10-14 years,1,Number,2009,11679545.826674294,12515158.35485085,10787014.195330739
1,All Population,44,Population,11,Indonesia,2,Female,7,10-14 years,1,Number,2009,11085454.429997591,11878562.718599075,10238322.28347236
1,All Population,44,Population,11,Indonesia,1,Male,7,10-14 years,1,Number,2010,11777133.244749624,12564092.38164955,11004460.989250563
1,All Population,44,Population,11,Indonesia,2,Female,7,10-14 years,1,Number,2010,11158898.536948195,11904546.648325853,10426787.324291855
1,All Population,44,Population,11,Indonesia,1,Male,7,10-14 years,1,Number,2011,11858896.086430687,12782048.587220825,10963601.649142101
1,All Population,44,Population,11,Indonesia,2,Female,7,10-14 years,1,Number,2011,11213509.70619908,12086422.281911502,10366939.098844742
1,All Population,44,Population,11,Indonesia,1,Male,8,15-19 years,1,Number,2006,10541572.235056654,11629543.640560286,9572597.96131584
1,All Population,44,Population,11,Indonesia,2,Female,8,15-19 years,1,Number,2006,10346235.082329694,11414046.189932728,9395216.069101991
1,All Population,44,Population,11,Indonesia,1,Male,8,15-19 years,1,Number,2007,10591033.974643083,11514460.233104631,9689712.328553857
1,All Population,44,Population,11,Indonesia,2,Female,8,15-19 years,1,Number,2007,10370253.85010779,11274430.41445728,9487721.106570134
1,All Population,44,Population,11,Indonesia,1,Male,8,15-19 years,1,Number,2008,10661404.544809636,11507488.499984188,9797788.013430603
1,All Population,44,Population,11,Indonesia,2,Female,8,15-19 years,1,Number,2008,10410465.46547784,11236635.015579723,9567176.006049704
1,All Population,44,Population,11,Indonesia,1,Male,8,15-19 years,1,Number,2009,10756297.707799692,11525856.49500071,9934319.175172703
1,All Population,44,Population,11,Indonesia,2,Female,8,15-19 years,1,Number,2009,10470958.773537388,11220103.000807352,9670785.371714488
1,All Population,44,Population,11,Indonesia,1,Male,8,15-19 years,1,Number,2010,10879139.437122727,11606093.781930607,10165382.614296772
1,All Population,44,Population,11,Indonesia,2,Female,8,15-19 years,1,Number,2010,10556210.630673828,11261586.568451585,9863640.468816977
1,All Population,44,Population,11,Indonesia,1,Male,8,15-19 years,1,Number,2011,11032823.313828971,11891670.407074936,10199893.733498035
1,All Population,44,Population,11,Indonesia,2,Female,8,15-19 years,1,Number,2011,10669577.068047501,11500147.35730161,9864070.979822733
1,All Population,44,Population,11,Indonesia,1,Male,9,20-24 years,1,Number,2006,10301163.951963482,11364323.371947367,9354287.84691299
1,All Population,44,Population,11,Indonesia,2,Female,9,20-24 years,1,Number,2006,10459856.935420606,11539394.692943294,9498393.877402913
1,All Population,44,Population,11,Indonesia,1,Male,9,20-24 years,1,Number,2007,10302072.502936224,11200304.374211721,9425342.150762094
1,All Population,44,Population,11,Indonesia,2,Female,9,20-24 years,1,Number,2007,10416807.610452637,11325043.17082041,9530313.033537228
1,All Population,44,Population,11,Indonesia,1,Male,9,20-24 years,1,Number,2008,10314785.173874842,11133361.5818901,9479246.201843392
1,All Population,44,Population,11,Indonesia,2,Female,9,20-24 years,1,Number,2008,10389126.404004537,11213602.496414691,9547565.494147426
1,All Population,44,Population,11,Indonesia,1,Male,9,20-24 years,1,Number,2009,10348811.343113678,11089216.538518758,9557972.246490512
1,All Population,44,Population,11,Indonesia,2,Female,9,20-24 years,1,Number,2009,10384223.340127701,11127162.085106697,9590678.117090626
1,All Population,44,Population,11,Indonesia,1,Male,9,20-24 years,1,Number,2010,10414513.123654254,11110420.700540818,9731239.4289488
1,All Population,44,Population,11,Indonesia,2,Female,9,20-24 years,1,Number,2010,10409070.305229103,11104614.187861627,9726153.702075679
1,All Population,44,Population,11,Indonesia,1,Male,9,20-24 years,1,Number,2011,10512302.39074047,11330629.676041361,9718669.848138591
1,All Population,44,Population,11,Indonesia,2,Female,9,20-24 years,1,Number,2011,10459893.555434922,11274141.08938095,9670217.649131386
1,All Population,44,Population,11,Indonesia,1,Male,10,25-29 years,1,Number,2006,10176492.277983785,11226784.62146886,9241075.909873553
1,All Population,44,Population,11,Indonesia,2,Female,10,25-29 years,1,Number,2006,10411966.592467241,11486561.697928999,9454905.582763374
1,All Population,44,Population,11,Indonesia,1,Male,10,25-29 years,1,Number,2007,10276023.566990912,11171984.246283222,9401510.039904993
1,All Population,44,Population,11,Indonesia,2,Female,10,25-29 years,1,Number,2007,10468129.56454767,11380839.857048336,9577267.369866496
1,All Population,44,Population,11,Indonesia,1,Male,10,25-29 years,1,Number,2008,10361574.561046416,11183864.152403696,9522245.460980276
1,All Population,44,Population,11,Indonesia,2,Female,10,25-29 years,1,Number,2008,10509222.45308758,11343229.31039667,9657933.281545479
1,All Population,44,Population,11,Indonesia,1,Male,10,25-29 years,1,Number,2009,10431295.355637757,11177601.86563694,9634152.966801831
1,All Population,44,Population,11,Indonesia,2,Female,10,25-29 years,1,Number,2009,10534217.28683344,11287887.341306657,9729209.773744026
1,All Population,44,Population,11,Indonesia,1,Male,10,25-29 years,1,Number,2010,10489793.310786836,11190731.180687867,9801580.645724392
1,All Population,44,Population,11,Indonesia,2,Female,10,25-29 years,1,Number,2010,10548772.182620484,11253651.076292662,9856690.041261949
1,All Population,44,Population,11,Indonesia,1,Male,10,25-29 years,1,Number,2011,10550505.06358534,11371806.225435667,9753988.387398154
1,All Population,44,Population,11,Indonesia,2,Female,10,25-29 years,1,Number,2011,10566656.487960147,11389214.952994028,9768920.450350814
1,All Population,44,Population,11,Indonesia,1,Male,11,30-34 years,1,Number,2006,9592734.926528536,10582779.017478403,8710977.143974083
1,All Population,44,Population,11,Indonesia,2,Female,11,30-34 years,1,Number,2006,9615159.276640356,10607517.733148288,8731340.262812315
1,All Population,44,Population,11,Indonesia,1,Male,11,30-34 years,1,Number,2007,9748918.980644934,10598921.709358217,8919263.280902782
1,All Population,44,Population,11,Indonesia,2,Female,11,30-34 years,1,Number,2007,9755847.343156965,10606454.151876705,8925602.02363652
1,All Population,44,Population,11,Indonesia,1,Male,11,30-34 years,1,Number,2008,9902042.152558358,10687863.472209943,9099937.020779576
1,All Population,44,Population,11,Indonesia,2,Female,11,30-34 years,1,Number,2008,9893502.723032331,10678646.35764927,9092089.319297096
1,All Population,44,Population,11,Indonesia,1,Male,11,30-34 years,1,Number,2009,10053307.219887055,10772570.587419685,9285050.061045226
1,All Population,44,Population,11,Indonesia,2,Female,11,30-34 years,1,Number,2009,10027734.926907351,10745168.726004258,9261431.96052378
1,All Population,44,Population,11,Indonesia,1,Male,11,30-34 years,1,Number,2010,10199554.068864012,10881097.879228534,9530383.373101765
1,All Population,44,Population,11,Indonesia,2,Female,11,30-34 years,1,Number,2010,10154058.509840526,10832562.264096498,9487872.679365555
1,All Population,44,Population,11,Indonesia,1,Male,11,30-34 years,1,Number,2011,10339592.07995158,11144474.778660687,9558998.405334102
1,All Population,44,Population,11,Indonesia,2,Female,11,30-34 years,1,Number,2011,10271592.801474156,11071182.115072131,9496132.772966465
1,All Population,44,Population,11,Indonesia,1,Male,12,35-39 years,1,Number,2006,8719613.53312424,9619544.77483533,7918112.48544734
1,All Population,44,Population,11,Indonesia,2,Female,12,35-39 years,1,Number,2006,8660180.843951553,9553978.174616903,7864142.809337927
1,All Population,44,Population,11,Indonesia,1,Male,12,35-39 years,1,Number,2007,8898479.14253659,9674332.503054926,8141197.852754682
1,All Population,44,Population,11,Indonesia,2,Female,12,35-39 years,1,Number,2007,8815697.392187234,9584333.058741316,8065461.022067529
1,All Population,44,Population,11,Indonesia,1,Male,12,35-39 years,1,Number,2008,9083085.906167665,9803915.250592263,8347319.515207369
1,All Population,44,Population,11,Indonesia,2,Female,12,35-39 years,1,Number,2008,8980714.46705378,9693419.663132038,8253240.573276965
1,All Population,44,Population,11,Indonesia,1,Male,12,35-39 years,1,Number,2009,9271285.407426646,9934599.063087188,8562789.065861413
1,All Population,44,Population,11,Indonesia,2,Female,12,35-39 years,1,Number,2009,9153869.04671601,9808782.154660167,8454345.469805045
1,All Population,44,Population,11,Indonesia,1,Male,12,35-39 years,1,Number,2010,9454706.72171732,10086479.130735585,8834403.85038755
1,All Population,44,Population,11,Indonesia,2,Female,12,35-39 years,1,Number,2010,9327798.615029745,9951090.904817892,8715821.910263399
1,All Population,44,Population,11,Indonesia,1,Male,12,35-39 years,1,Number,2011,9627715.521190928,10377182.385181176,8900865.39221627
1,All Population,44,Population,11,Indonesia,2,Female,12,35-39 years,1,Number,2011,9496808.192644065,10236084.611685723,8779840.990561938
1,All Population,44,Population,11,Indonesia,1,Male,13,40-44 years,1,Number,2006,7666952.993024293,8458241.563434217,6962211.798583221
1,All Population,44,Population,11,Indonesia,2,Female,13,40-44 years,1,Number,2006,7634744.2335089855,8422708.61198833,6932963.646713862
1,All Population,44,Population,11,Indonesia,1,Male,13,40-44 years,1,Number,2007,7863850.133918647,8549494.776703542,7194618.181280954
1,All Population,44,Population,11,Indonesia,2,Female,13,40-44 years,1,Number,2007,7823433.114472077,8505553.820204645,7157640.744275988
1,All Population,44,Population,11,Indonesia,1,Male,13,40-44 years,1,Number,2008,8062414.07917152,8702243.396564918,7409326.200146672
1,All Population,44,Population,11,Indonesia,2,Female,13,40-44 years,1,Number,2008,8004596.437374517,8639837.374424137,7356192.019243718
1,All Population,44,Population,11,Indonesia,1,Male,13,40-44 years,1,Number,2009,8260658.932514982,8851667.367041463,7629392.999539084
1,All Population,44,Population,11,Indonesia,2,Female,13,40-44 years,1,Number,2009,8181436.474696167,8766776.94239853,7556224.591301081
1,All Population,44,Population,11,Indonesia,1,Male,13,40-44 years,1,Number,2010,8457796.415229723,9022954.338527545,7902898.67425181
1,All Population,44,Population,11,Indonesia,2,Female,13,40-44 years,1,Number,2010,8358136.257178953,8916634.79484081,7809777.003751806
1,All Population,44,Population,11,Indonesia,1,Male,13,40-44 years,1,Number,2011,8653153.811791856,9326756.187835751,7999878.8006747365
1,All Population,44,Population,11,Indonesia,2,Female,13,40-44 years,1,Number,2011,8538644.966438426,9203333.432943001,7894014.868938736
1,All Population,44,Population,11,Indonesia,1,Male,14,45-49 years,1,Number,2006,6428417.413385448,7091879.577515598,5837521.581573649
1,All Population,44,Population,11,Indonesia,2,Female,14,45-49 years,1,Number,2006,6251608.069365994,6896822.148084434,5676964.434275107
1,All Population,44,Population,11,Indonesia,1,Male,14,45-49 years,1,Number,2007,6619624.167279486,7196785.4521783525,6056278.7408339605
1,All Population,44,Population,11,Indonesia,2,Female,14,45-49 years,1,Number,2007,6465968.240895912,7029732.352531947,5915699.291480956
1,All Population,44,Population,11,Indonesia,1,Male,14,45-49 years,1,Number,2008,6806528.848475916,7346691.715847068,6255172.710534988
1,All Population,44,Population,11,Indonesia,2,Female,14,45-49 years,1,Number,2008,6682613.340376851,7212942.332412039,6141294.855621187
1,All Population,44,Population,11,Indonesia,1,Male,14,45-49 years,1,Number,2009,6995629.232113819,7496131.179328401,6461034.782682979
1,All Population,44,Population,11,Indonesia,2,Female,14,45-49 years,1,Number,2009,6902197.435057963,7396014.8089759005,6374742.889479821
1,All Population,44,Population,11,Indonesia,1,Male,14,45-49 years,1,Number,2010,7194592.49078341,7675341.937973175,6722570.828828577
