population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,4709,Aceh,1,Male,6,5-9 years,1,Number,1990,253766.66911549392,279222.0534984914,229150.40121768636
1,All Population,44,Population,4709,Aceh,2,Female,6,5-9 years,1,Number,1990,238062.8724528464,261970.4219562457,214967.96039801522
1,All Population,44,Population,4709,Aceh,1,Male,6,5-9 years,1,Number,1991,253683.3521021459,282031.94347837986,225874.09000459986
1,All Population,44,Population,4709,Aceh,2,Female,6,5-9 years,1,Number,1991,238262.5147923254,264917.0400084757,212110.42997375585
1,All Population,44,Population,4709,Aceh,1,Male,6,5-9 years,1,Number,1992,252578.5045555287,282214.64866482053,222853.24284257175
1,All Population,44,Population,4709,Aceh,2,Female,6,5-9 years,1,Number,1992,237657.3405819361,265533.2627829678,209672.27247729307
1,All Population,44,Population,4709,Aceh,1,Male,6,5-9 years,1,Number,1993,250831.64815535958,282962.40019135963,220616.06588471608
1,All Population,44,Population,4709,Aceh,2,Female,6,5-9 years,1,Number,1993,236567.6570515869,266878.69573949603,208052.93764891181
1,All Population,44,Population,4709,Aceh,1,Male,6,5-9 years,1,Number,1994,248773.03950209604,283510.92275194894,215592.12336976157
1,All Population,44,Population,4709,Aceh,2,Female,6,5-9 years,1,Number,1994,235266.69909591143,268160.4787426955,203869.4340265497
1,All Population,44,Population,4709,Aceh,1,Male,7,10-14 years,1,Number,1990,228895.253177496,252026.40493399106,206589.70962324075
1,All Population,44,Population,4709,Aceh,2,Female,7,10-14 years,1,Number,1990,219702.38676813286,241848.61163470751,198272.9153396809
1,All Population,44,Population,4709,Aceh,1,Male,7,10-14 years,1,Number,1991,232685.96425263627,258759.93984601228,207092.73157628876
1,All Population,44,Population,4709,Aceh,2,Female,7,10-14 years,1,Number,1991,223942.2180626575,248980.19973798402,199297.96489909236
1,All Population,44,Population,4709,Aceh,1,Male,7,10-14 years,1,Number,1992,236119.45873643953,263856.80243309605,208282.46078498435
1,All Population,44,Population,4709,Aceh,2,Female,7,10-14 years,1,Number,1992,227811.1959208592,254572.67758049435,200944.73818324218
1,All Population,44,Population,4709,Aceh,1,Male,7,10-14 years,1,Number,1993,239021.76687815576,269576.70038110955,210128.58768400352
1,All Population,44,Population,4709,Aceh,2,Female,7,10-14 years,1,Number,1993,231100.90528298542,260638.49383256945,203154.44168644366
1,All Population,44,Population,4709,Aceh,1,Male,7,10-14 years,1,Number,1994,241093.97797170116,275041.20886795304,208864.35296103315
1,All Population,44,Population,4709,Aceh,2,Female,7,10-14 years,1,Number,1994,233496.22426201912,266301.611841494,202308.4895016334
1,All Population,44,Population,4709,Aceh,1,Male,8,15-19 years,1,Number,1990,196446.39534678057,216154.60523387577,177291.22197325726
1,All Population,44,Population,4709,Aceh,2,Female,8,15-19 years,1,Number,1990,199919.55136920445,219884.18740045623,180432.6186348161
1,All Population,44,Population,4709,Aceh,1,Male,8,15-19 years,1,Number,1991,201132.37693890824,223520.15299761266,178945.31447261397
1,All Population,44,Population,4709,Aceh,2,Female,8,15-19 years,1,Number,1991,205300.2554518397,228065.3483796671,182665.50789256542
1,All Population,44,Population,4709,Aceh,1,Male,8,15-19 years,1,Number,1992,205341.67133668307,229461.1246481893,181114.3750753158
1,All Population,44,Population,4709,Aceh,2,Female,8,15-19 years,1,Number,1992,210394.43274459548,235114.1398697085,185589.05026285278
1,All Population,44,Population,4709,Aceh,1,Male,8,15-19 years,1,Number,1993,209207.45539098576,236060.00453459058,183797.78575229034
1,All Population,44,Population,4709,Aceh,2,Female,8,15-19 years,1,Number,1993,215309.779500987,243081.144439738,189193.29658668285
1,All Population,44,Population,4709,Aceh,1,Male,8,15-19 years,1,Number,1994,212798.47029104832,242948.69525010782,184413.24304215203
1,All Population,44,Population,4709,Aceh,2,Female,8,15-19 years,1,Number,1994,220075.22590465614,251126.4887410637,190818.92206313493
1,All Population,44,Population,4709,Aceh,1,Male,9,20-24 years,1,Number,1990,161183.66476651188,177359.28312659863,145473.27711337362
1,All Population,44,Population,4709,Aceh,2,Female,9,20-24 years,1,Number,1990,173201.10030235723,190563.74870916337,156340.4906933164
1,All Population,44,Population,4709,Aceh,1,Male,9,20-24 years,1,Number,1991,165597.56345797054,184035.6286594807,147301.82656380773
1,All Population,44,Population,4709,Aceh,2,Female,9,20-24 years,1,Number,1991,178629.1007467292,198490.10655176843,158901.4361068522
1,All Population,44,Population,4709,Aceh,1,Male,9,20-24 years,1,Number,1992,170175.90310155475,190144.8179355569,150097.67767301554
1,All Population,44,Population,4709,Aceh,2,Female,9,20-24 years,1,Number,1992,184430.10013041328,206061.8920433845,162705.18511052185
1,All Population,44,Population,4709,Aceh,1,Male,9,20-24 years,1,Number,1993,174939.76874797337,197403.84964077838,153658.58194157635
1,All Population,44,Population,4709,Aceh,2,Female,9,20-24 years,1,Number,1993,190463.35302650553,214914.11180007335,167304.3356498029
1,All Population,44,Population,4709,Aceh,1,Male,9,20-24 years,1,Number,1994,179759.60701322008,205075.35839677393,155949.43473449477
1,All Population,44,Population,4709,Aceh,2,Female,9,20-24 years,1,Number,1994,196501.26160251442,224121.19367439987,170492.71010932722
1,All Population,44,Population,4709,Aceh,1,Male,10,25-29 years,1,Number,1990,136723.91568960503,150467.14166765165,123396.54485279239
1,All Population,44,Population,4709,Aceh,2,Female,10,25-29 years,1,Number,1990,145720.7947136502,160405.4578446482,131545.51125573926
1,All Population,44,Population,4709,Aceh,1,Male,10,25-29 years,1,Number,1991,140083.95206421395,155671.43868727668,124597.00937201496
1,All Population,44,Population,4709,Aceh,2,Female,10,25-29 years,1,Number,1991,149775.3467453992,166492.16474815406,133182.9179320553
1,All Population,44,Population,4709,Aceh,1,Male,10,25-29 years,1,Number,1992,143541.7172503348,160382.5767483021,126586.46958229263
1,All Population,44,Population,4709,Aceh,2,Female,10,25-29 years,1,Number,1992,153756.67245384064,171801.32815143984,135589.26047289712
1,All Population,44,Population,4709,Aceh,1,Male,10,25-29 years,1,Number,1993,147060.73426076354,165977.48008458712,129152.58439731822
1,All Population,44,Population,4709,Aceh,2,Female,10,25-29 years,1,Number,1993,157830.46393931325,178225.00576246422,138562.76043825742
1,All Population,44,Population,4709,Aceh,1,Male,10,25-29 years,1,Number,1994,150629.04462672022,171903.55292742327,130711.08452225459
1,All Population,44,Population,4709,Aceh,2,Female,10,25-29 years,1,Number,1994,162155.6222930163,185152.63083831553,140617.5787225118
1,All Population,44,Population,4709,Aceh,1,Male,11,30-34 years,1,Number,1990,121931.18847392853,134242.73715918962,110056.21456471567
1,All Population,44,Population,4709,Aceh,2,Female,11,30-34 years,1,Number,1990,119425.01965950996,131501.450415963,107767.58837029777
1,All Population,44,Population,4709,Aceh,1,Male,11,30-34 years,1,Number,1991,125115.32949802779,139101.94465822546,111252.09415001374
1,All Population,44,Population,4709,Aceh,2,Female,11,30-34 years,1,Number,1991,123335.72011689,137167.7183709578,109626.37264319226
1,All Population,44,Population,4710,North Sumatra,1,Male,8,15-19 years,1,Number,1990,598320.5224845177,652453.453615698,544149.5345410933
1,All Population,44,Population,4710,North Sumatra,2,Female,8,15-19 years,1,Number,1990,595345.1317189324,649364.5925834215,541507.8977957483
1,All Population,44,Population,4710,North Sumatra,1,Male,8,15-19 years,1,Number,1991,608345.2861105981,665695.1752863616,548046.9399014255
1,All Population,44,Population,4710,North Sumatra,2,Female,8,15-19 years,1,Number,1991,605530.8762693134,662844.8051484267,545565.8144450699
1,All Population,44,Population,4710,North Sumatra,1,Male,8,15-19 years,1,Number,1992,617048.72731677,682135.1564962877,551993.1511425554
1,All Population,44,Population,4710,North Sumatra,2,Female,8,15-19 years,1,Number,1992,615102.9339971473,680086.8898288017,550412.093634073
1,All Population,44,Population,4710,North Sumatra,1,Male,8,15-19 years,1,Number,1993,624798.3129460013,696307.8479801205,554392.1559439766
1,All Population,44,Population,4710,North Sumatra,2,Female,8,15-19 years,1,Number,1993,623936.8326652439,695305.9709891693,553694.8828520776
1,All Population,44,Population,4710,North Sumatra,1,Male,8,15-19 years,1,Number,1994,631639.0937875728,708833.3066792686,555322.7981515406
1,All Population,44,Population,4710,North Sumatra,2,Female,8,15-19 years,1,Number,1994,631759.280698129,708710.7027848733,555489.7505829376
1,All Population,44,Population,4710,North Sumatra,1,Male,9,20-24 years,1,Number,1990,469427.2706529103,512205.877556596,426952.9669639637
1,All Population,44,Population,4710,North Sumatra,2,Female,9,20-24 years,1,Number,1990,513186.5041799629,559858.7719332117,466716.03120221646
1,All Population,44,Population,4710,North Sumatra,1,Male,9,20-24 years,1,Number,1991,477606.5944856948,523447.4349166241,430285.455675625
1,All Population,44,Population,4710,North Sumatra,2,Female,9,20-24 years,1,Number,1991,520395.555162066,570452.8879314212,468799.68745765765
1,All Population,44,Population,4710,North Sumatra,1,Male,9,20-24 years,1,Number,1992,486338.5293108521,537399.1701919361,434959.49326231104
1,All Population,44,Population,4710,North Sumatra,2,Female,9,20-24 years,1,Number,1992,528254.2020669227,583744.3306693593,472387.2072099258
1,All Population,44,Population,4710,North Sumatra,1,Male,9,20-24 years,1,Number,1993,495699.6016645705,552659.3020600063,439974.030482374
1,All Population,44,Population,4710,North Sumatra,2,Female,9,20-24 years,1,Number,1993,536899.3058094583,598494.5858317061,476432.31779234693
1,All Population,44,Population,4710,North Sumatra,1,Male,9,20-24 years,1,Number,1994,505356.9322956748,566885.4914446566,444015.27915659494
1,All Population,44,Population,4710,North Sumatra,2,Female,9,20-24 years,1,Number,1994,546080.6079344172,612691.2476016782,480021.9310765985
1,All Population,44,Population,4710,North Sumatra,1,Male,10,25-29 years,1,Number,1990,398295.7693365237,434590.56756294117,362198.77928321715
1,All Population,44,Population,4710,North Sumatra,2,Female,10,25-29 years,1,Number,1990,444889.2821578877,485336.58713131305,404459.3209981838
1,All Population,44,Population,4710,North Sumatra,1,Male,10,25-29 years,1,Number,1991,403713.5442752951,442793.64174258243,363666.8193660151
1,All Population,44,Population,4710,North Sumatra,2,Female,10,25-29 years,1,Number,1991,451934.39015753474,495769.8910599348,406975.7136323149
1,All Population,44,Population,4710,North Sumatra,1,Male,10,25-29 years,1,Number,1992,409537.6983166812,452667.08014057315,366099.7119406256
1,All Population,44,Population,4710,North Sumatra,2,Female,10,25-29 years,1,Number,1992,458285.76657783793,506409.8968628497,409372.9615760063
1,All Population,44,Population,4710,North Sumatra,1,Male,10,25-29 years,1,Number,1993,415700.5699020182,463303.22202936455,369096.8774952032
1,All Population,44,Population,4710,North Sumatra,2,Female,10,25-29 years,1,Number,1993,464377.8375982486,517464.93771728204,412268.2846820861
1,All Population,44,Population,4710,North Sumatra,1,Male,10,25-29 years,1,Number,1994,422195.13237575314,473316.4985846529,370829.69515204075
1,All Population,44,Population,4710,North Sumatra,2,Female,10,25-29 years,1,Number,1994,470528.4092435138,527525.2157189937,413493.6051742147
1,All Population,44,Population,4710,North Sumatra,1,Male,11,30-34 years,1,Number,1990,357034.21489383635,389566.03508272534,324560.46402237535
1,All Population,44,Population,4710,North Sumatra,2,Female,11,30-34 years,1,Number,1990,369669.58049008664,403335.1335125819,335927.88494274695
1,All Population,44,Population,4710,North Sumatra,1,Male,11,30-34 years,1,Number,1991,366947.9630748433,402612.9098957491,330415.0887506389
1,All Population,44,Population,4710,North Sumatra,2,Female,11,30-34 years,1,Number,1991,382571.78306790994,419752.96597454516,344507.3174869313
1,All Population,44,Population,4710,North Sumatra,1,Male,11,30-34 years,1,Number,1992,374284.2280369517,413639.45375811233,334294.9516020099
1,All Population,44,Population,4710,North Sumatra,2,Female,11,30-34 years,1,Number,1992,393607.86256399855,434978.7676693392,351376.22291169956
1,All Population,44,Population,4710,North Sumatra,1,Male,11,30-34 years,1,Number,1993,379768.28140341776,422999.32183325273,337222.5951196192
