population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,4709,Aceh,1,Male,11,30-34 years,1,Number,2000,151063.8366474024,181369.20356094075,122324.04914670884
1,All Population,44,Population,4709,Aceh,2,Female,11,30-34 years,1,Number,2000,157481.86763520114,189016.29362116934,127421.1497435967
1,All Population,44,Population,4709,Aceh,1,Male,11,30-34 years,1,Number,2001,154535.6983784101,182824.39928611935,127914.21657318975
1,All Population,44,Population,4709,Aceh,2,Female,11,30-34 years,1,Number,2001,162222.22362963343,192057.4094918666,134193.38350355558
1,All Population,44,Population,4709,Aceh,1,Male,11,30-34 years,1,Number,2002,158219.97308203892,186112.68181385062,131343.5364000968
1,All Population,44,Population,4709,Aceh,2,Female,11,30-34 years,1,Number,2002,167129.32460461478,196831.59754834056,138817.9163922599
1,All Population,44,Population,4709,Aceh,1,Male,11,30-34 years,1,Number,2003,162161.37192416377,189411.14834082022,135408.12952186834
1,All Population,44,Population,4709,Aceh,2,Female,11,30-34 years,1,Number,2003,172007.80879062734,201003.51807702184,143695.39679947094
1,All Population,44,Population,4709,Aceh,1,Male,11,30-34 years,1,Number,2004,165324.47938782262,191440.91589955596,139215.36870024525
1,All Population,44,Population,4709,Aceh,2,Female,11,30-34 years,1,Number,2004,172873.76828284428,200218.76813201973,145565.51083613976
1,All Population,44,Population,4709,Aceh,1,Male,11,30-34 years,1,Number,2005,168439.8410623977,193021.3741031044,145077.63312236615
1,All Population,44,Population,4709,Aceh,2,Female,11,30-34 years,1,Number,2005,173294.0967523813,198583.6558919878,149283.63511831278
1,All Population,44,Population,4709,Aceh,1,Male,12,35-39 years,1,Number,2000,129506.41641665187,155394.60124981683,104764.79147991654
1,All Population,44,Population,4709,Aceh,2,Female,12,35-39 years,1,Number,2000,129344.65298036995,155288.40545021032,104575.87362563825
1,All Population,44,Population,4709,Aceh,1,Male,12,35-39 years,1,Number,2001,132498.92573450584,156824.0610812972,109610.15441325333
1,All Population,44,Population,4709,Aceh,2,Female,12,35-39 years,1,Number,2001,132900.2920868823,157315.7733937223,109843.62534297777
1,All Population,44,Population,4709,Aceh,1,Male,12,35-39 years,1,Number,2002,135647.51198602293,159941.16223400427,112597.8387171143
1,All Population,44,Population,4709,Aceh,2,Female,12,35-39 years,1,Number,2002,136435.60763111542,160891.93271075393,113196.379455262
1,All Population,44,Population,4709,Aceh,1,Male,12,35-39 years,1,Number,2003,138902.3105416551,162425.81830603827,115984.27427450904
1,All Population,44,Population,4709,Aceh,2,Female,12,35-39 years,1,Number,2003,140084.20533324053,163804.3676922667,116950.64781610011
1,All Population,44,Population,4709,Aceh,1,Male,12,35-39 years,1,Number,2004,141282.59988075588,163687.7633668093,118934.39906698599
1,All Population,44,Population,4709,Aceh,2,Female,12,35-39 years,1,Number,2004,142231.24011657992,164948.71176923392,119802.24700648514
1,All Population,44,Population,4709,Aceh,1,Male,12,35-39 years,1,Number,2005,143820.03617120683,164941.35706046637,123807.84016999183
1,All Population,44,Population,4709,Aceh,2,Female,12,35-39 years,1,Number,2005,144295.0917634252,165499.0566938557,124212.96377330515
1,All Population,44,Population,4709,Aceh,1,Male,13,40-44 years,1,Number,2000,108232.8555749106,129949.05671317904,87494.03825181557
