population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,1995,2893922.2438927297,3211851.759887643,2594890.47007331
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,1995,3051149.304855293,3386351.9606170477,2735871.107334867
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,1996,2925764.6220702035,3237803.9357092683,2613823.850239372
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,1996,3090802.212304289,3420443.1525379266,2761265.3724608864
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,1997,2970673.84787598,3311583.3757228614,2639692.6768103093
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,1997,3124952.219406866,3483566.4733492034,2776781.939507888
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,1998,3005789.9936574637,3361453.676039406,2676733.522990424
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,1998,3149710.498772025,3522403.7464021468,2804898.445190163
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,1999,3034570.170314656,3426207.0348597793,2654439.6033700225
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,1999,3170767.563749264,3579981.850179615,2773575.9998670276
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,1995,2196091.0315392874,2437356.034499034,1969166.8292681316
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,1995,2404029.7651435016,2668139.148622075,2155619.0531754615
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,1996,2264818.127179144,2506366.0249803825,2023346.5100437829
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,1996,2474693.8321004063,2738625.4412976783,2210845.57233022
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,1997,2302360.7121329145,2566575.750033369,2045840.44644902
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,1997,2523761.240671401,2813383.830364547,2242573.370947897
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,1998,2348678.6648931187,2626588.866354448,2091558.934695236
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,1998,2577911.932374871,2882946.433341169,2295697.0724053853
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,1999,2406227.90307723,2716771.9005635153,2104807.693407173
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,1999,2638138.984095294,2978613.061799091,2307668.0404628064
1,All Population,44,Population,11,Indonesia,1,Male,18,65-69 years,1,Number,1995,1719584.9765548923,1908500.4943999136,1541898.6040693796
1,All Population,44,Population,11,Indonesia,2,Female,18,65-69 years,1,Number,1995,1905559.0729788805,2114905.9118756163,1708655.8179197288
1,All Population,44,Population,11,Indonesia,1,Male,18,65-69 years,1,Number,1996,1770386.0177873252,1959201.6298496749,1581630.0335700004
1,All Population,44,Population,11,Indonesia,2,Female,18,65-69 years,1,Number,1996,1974175.2905455716,2184725.482457168,1763691.5902448967
1,All Population,44,Population,11,Indonesia,1,Male,18,65-69 years,1,Number,1997,1812794.1740484352,2020827.3805212006,1610819.5483060046
1,All Population,44,Population,11,Indonesia,2,Female,18,65-69 years,1,Number,1997,2039192.8591435284,2273207.1974379867,1811993.7537854444
1,All Population,44,Population,11,Indonesia,1,Male,18,65-69 years,1,Number,1998,1836753.178690419,2054089.1870403818,1635676.0842354924
1,All Population,44,Population,11,Indonesia,2,Female,18,65-69 years,1,Number,1998,2084951.3423979275,2331655.6941953427,1856702.9512296687
1,All Population,44,Population,11,Indonesia,1,Male,18,65-69 years,1,Number,1999,1841947.3289283793,2079666.1609447026,1611212.6801543504
1,All Population,44,Population,11,Indonesia,2,Female,18,65-69 years,1,Number,1999,2110024.495918415,2382340.9464584948,1845708.707228855
1,All Population,44,Population,11,Indonesia,1,Male,19,70-74 years,1,Number,1995,1063515.9571168167,1180355.0028833656,953621.8285468275
1,All Population,44,Population,11,Indonesia,2,Female,19,70-74 years,1,Number,1995,1178979.3906946324,1308503.3776789268,1057154.3142814797
1,All Population,44,Population,11,Indonesia,1,Male,19,70-74 years,1,Number,1996,1099485.8831181477,1216748.5014901175,982260.2962032653
1,All Population,44,Population,11,Indonesia,2,Female,19,70-74 years,1,Number,1996,1227322.317841556,1358218.9767129736,1096466.99604817
1,All Population,44,Population,11,Indonesia,1,Male,19,70-74 years,1,Number,1997,1142568.602821002,1273687.8514719028,1015267.9587415613
1,All Population,44,Population,11,Indonesia,2,Female,19,70-74 years,1,Number,1997,1288393.0768482143,1436246.8965543255,1144845.2250121657
1,All Population,44,Population,11,Indonesia,1,Male,19,70-74 years,1,Number,1998,1193161.0437829786,1334343.245933491,1062540.6867942694
1,All Population,44,Population,11,Indonesia,2,Female,19,70-74 years,1,Number,1998,1362129.9291064048,1523305.5759383196,1213011.837687016
1,All Population,44,Population,11,Indonesia,1,Male,19,70-74 years,1,Number,1999,1248850.2397467094,1410024.892079798,1092410.9013824777
1,All Population,44,Population,11,Indonesia,2,Female,19,70-74 years,1,Number,1999,1444923.3913863865,1631402.937005789,1263922.617921881
1,All Population,44,Population,11,Indonesia,1,Male,20,75-79 years,1,Number,1995,585080.3207551643,649357.8954510286,524623.4074737247
1,All Population,44,Population,11,Indonesia,2,Female,20,75-79 years,1,Number,1995,689335.1836569397,765066.3135312223,618105.5149399972
1,All Population,44,Population,11,Indonesia,1,Male,20,75-79 years,1,Number,1996,610147.800916493,675221.4228955747,545094.7291440611
1,All Population,44,Population,11,Indonesia,2,Female,20,75-79 years,1,Number,1996,716659.9093220938,793093.2849021391,640250.6713513491
1,All Population,44,Population,11,Indonesia,1,Male,20,75-79 years,1,Number,1997,637174.752544393,710295.8540753379,566183.1672778347
1,All Population,44,Population,11,Indonesia,2,Female,20,75-79 years,1,Number,1997,747651.5300968438,833450.7605648913,664351.0428496739
1,All Population,44,Population,11,Indonesia,1,Male,20,75-79 years,1,Number,1998,663445.796542771,741948.8109107513,590815.5952479679
1,All Population,44,Population,11,Indonesia,2,Female,20,75-79 years,1,Number,1998,778678.8749219119,870816.9805886898,693433.6239544603
1,All Population,44,Population,11,Indonesia,1,Male,20,75-79 years,1,Number,1999,688419.6226750241,777265.978957445,602183.5738193362
