population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,2018,6213895.414880156,6729331.292548621,5745022.9890094865
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,2018,6163812.513738803,6675094.0691371905,5698719.116928802
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,2019,6440951.290013118,6927217.852512737,5953333.566977524
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,2019,6424772.698445831,6909817.840730754,5938379.789514049
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,2020,6665236.787970691,7092821.873006078,6214301.914631122
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,2020,6683596.355538834,7112359.234778621,6231419.370397498
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,2021,6866646.698556584,7390909.560176925,6322687.100125556
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,2021,6923530.157910884,7452136.025147957,6375064.385641868
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,2022,7067887.696248956,7638105.062339515,6505709.797709058
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,2022,7148330.047760097,7725037.277268429,6579753.786078387
1,All Population,44,Population,11,Indonesia,1,Male,16,55-59 years,1,Number,2023,7287165.38530956,7915990.453703226,6695992.133467964
1,All Population,44,Population,11,Indonesia,2,Female,16,55-59 years,1,Number,2023,7369944.298509179,8005912.536160295,6772055.5850700205
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,2018,4736693.673645234,5129597.2708116,4379284.205817697
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,2018,4743397.086779809,5136856.7247871775,4385481.809734675
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,2019,4961191.48631325,5335741.986903515,4585600.244092457
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,2019,4971705.791620223,5347050.081026531,4595318.554928701
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,2020,5178226.855551393,5510417.990059845,4827895.25511285
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,2020,5197857.492912858,5531307.962687636,4846197.786773982
1,All Population,44,Population,11,Indonesia,1,Male,17,60-64 years,1,Number,2021,5366371.425121112,5776089.49616196,4941260.104619615
1,All Population,44,Population,11,Indonesia,2,Female,17,60-64 years,1,Number,2021,5417914.74059686,5831568.101635138,4988720.279893336
