location,sex,age,year,measure,source,value
Indonesia,Female,<1 year,2000,Incidence,model,0
Indonesia,Female,12-23 months,2000,Incidence,model,138.249056924812
Indonesia,Female,2-4 years,2000,Incidence,model,979.46271139417
Indonesia,Female,5-9 years,2000,Incidence,model,2199.16845501793
Indonesia,Female,10-14 years,2000,Incidence,model,2901.63945332227
Indonesia,Female,15-19 years,2000,Incidence,model,6414.6066143912
Indonesia,Female,20-24 years,2000,Incidence,model,7649.49762589299
Indonesia,Female,25-29 years,2000,Incidence,model,5318.11020095098
Indonesia,Female,30-34 years,2000,Incidence,model,3205.30988781144
Indonesia,Female,35-39 years,2000,Incidence,model,1333.02332814076
Indonesia,Female,40-44 years,2000,Incidence,model,376.738266603158
Indonesia,Female,45-49 years,2000,Incidence,model,99.0588038402689
Indonesia,Female,50-54 years,2000,Incidence,model,0
Indonesia,Female,55-59 years,2000,Incidence,model,0
Indonesia,Female,60-64 years,2000,Incidence,model,0
Indonesia,Female,65-69 years,2000,Incidence,model,0
Indonesia,Female,70-74 years,2000,Incidence,model,0
Indonesia,Female,75-79 years,2000,Incidence,model,0
Indonesia,Female,80-84 years,2000,Incidence,model,0
Indonesia,Female,85-89 years,2000,Incidence,model,0
Indonesia,Female,90-94 years,2000,Incidence,model,0
Indonesia,Female,95+ years,2000,Incidence,model,0
Indonesia,Female,<1 year,2001,Incidence,model,0
Indonesia,Female,12-23 months,2001,Incidence,model,136.792041022993
Indonesia,Female,2-4 years,2001,Incidence,model,971.709728935457
Indonesia,Female,5-9 years,2001,Incidence,model,2215.66884480041
Indonesia,Female,10-14 years,2001,Incidence,model,2904.89777153297
Indonesia,Female,15-19 years,2001,Incidence,model,6377.35728215755
Indonesia,Female,20-24 years,2001,Incidence,model,7735.88323158623
Indonesia,Female,25-29 years,2001,Incidence,model,5380.24147369508
Indonesia,Female,30-34 years,2001,Incidence,model,3261.4880378998
Indonesia,Female,35-39 years,2001,Incidence,model,1371.5085462749
Indonesia,Female,40-44 years,2001,Incidence,model,391.215110329392
Indonesia,Female,45-49 years,2001,Incidence,model,104.050133465517
Indonesia,Female,50-54 years,2001,Incidence,model,0
