location,sex,band,year,model_prev,model_inc,model_dwell,gbd_prev,gbd_inc,gbd_dwell
Indonesia,Female,0-14,2000,26173.3580903285,6218.51967665918,4.20893708651731,26341.5267961728,6409.73743251807,4.10961089646765
Indonesia,Female,0-14,2001,28272.0132343544,6229.06838629183,4.5387225634851,26343.2046024406,6421.92886051575,4.10207044871016
Indonesia,Female,0-14,2002,29832.5997563965,6236.93299076973,4.78321633414161,26380.8838841836,6438.95216863277,4.09707716306662
Indonesia,Female,0-14,2003,30825.7008470499,6238.54301248443,4.94116988299387,26444.3395456873,6460.46084925784,4.09325900469239
Indonesia,Female,0-14,2004,31287.2846728738,6232.75781715235,5.0198139556734,26521.7702371428,6483.71169935463,4.09052275408585
Indonesia,Female,0-14,2005,31192.4027951934,6246.44646123904,4.99362365286425,26631.0066145625,6513.38655983572,4.08865747025986
Indonesia,Female,0-14,2006,32300.769850321,6263.97881858421,5.15658989051653,26801.0336655672,6548.89475999883,4.09245142085196
Indonesia,Female,0-14,2007,33027.6309769107,6283.36521614513,5.25636022111942,27010.7594266795,6581.66394817713,4.103940833102
Indonesia,Female,0-14,2008,33361.4269830757,6305.41131711115,5.29092002175053,27227.1227578066,6611.08111134249,4.11840700473235
Indonesia,Female,0-14,2009,33287.4915353851,6324.14210072833,5.26355844084394,27421.6593168011,6636.58900604146,4.13189053772027
Indonesia,Female,0-14,2010,32787.9501740765,6342.64490675238,5.16944439679579,27575.8884994317,6658.96750856509,4.14116579844581
Indonesia,Female,0-14,2011,33039.9251170077,6368.59655175946,5.18794444717647,27696.2702289765,6679.70996296218,4.14632826612944
Indonesia,Female,0-14,2012,33025.5615079211,6407.06529436252,5.15455360459332,27802.3003148151,6698.78005391189,4.15035276439318
Indonesia,Female,0-14,2013,32835.421474617,6458.14132457913,5.08434545240567,27885.7109495986,6713.53834752519,4.15365333540965
Indonesia,Female,0-14,2014,33018.5093650016,6516.15819416919,5.06717430441565,27935.3139031321,6720.3620181946,4.1568168243765
Indonesia,Female,0-14,2015,33378.8475904413,6572.2032097688,5.07879116409968,27937.1335210336,6714.41772825715,4.16076786576179
Indonesia,Female,0-14,2016,33784.907583475,6622.8965902686,5.10122831045211,27904.0429875028,6697.23290543322,4.16650329793149
Indonesia,Female,0-14,2017,34225.7418353122,6668.88398089335,5.1321543354736,27858.5050529752,6674.53773306731,4.17384786289502
Indonesia,Female,0-14,2018,34681.787413764,6702.42544846408,5.17451297003411,27803.8545210797,6648.46338623539,4.18199708802537
Indonesia,Female,0-14,2019,35072.7050710518,6718.40611256465,5.22039074200344,27735.1051796178,6619.79877528565,4.18972028019402
Indonesia,Female,15-24,2000,96627.0805510891,14064.1042402842,6.8704752823374,96827.5457173347,14308.1292813914,6.76730995457699
Indonesia,Female,15-24,2001,100161.324604471,14113.2405137438,7.09697567379597,96879.584483973,14305.3951968572,6.77224104268413
Indonesia,Female,15-24,2002,102593.399295267,14151.0917232497,7.24985755881361,96818.1530887693,14290.3148799546,6.77508885578011
Indonesia,Female,15-24,2003,103904.579977196,14178.6636571614,7.32823505018513,96643.5941609288,14263.9977976465,6.77535116956301
Indonesia,Female,15-24,2004,104063.073777359,14174.2086218729,7.34172020135036,96309.3751674016,14220.7434081766,6.77245713554087
Indonesia,Female,15-24,2005,102978.691922692,14159.82023494,7.27259881934007,95891.9623971853,14172.2266006384,6.76618890590317
Indonesia,Female,15-24,2006,105564.24563027,14108.3008301521,7.48242094502691,95526.728063951,14130.1689647638,6.76048023927841
Indonesia,Female,15-24,2007,107188.525897157,14039.1367212269,7.63497984424424,95260.8972927648,14095.2182596577,6.75838398085777
Indonesia,Female,15-24,2008,107916.541273587,13964.8928596227,7.72770277283049,95131.8861672068,14075.2294068819,6.7588160318505
Indonesia,Female,15-24,2009,107994.329229955,13905.9961960979,7.76602608738374,95196.74621411,14081.7790832548,6.76027834631439
Indonesia,Female,15-24,2010,107770.317058757,13905.9705543323,7.7499313433525,95510.7140829336,14126.1754322842,6.76125781820971
Indonesia,Female,15-24,2011,109734.987072717,13926.188034551,7.87975767672128,96026.8625459408,14186.6688591356,6.7688097536797
Indonesia,Female,15-24,2012,111527.787345339,13922.7612468011,8.01046468932039,96631.9493269425,14236.9901139382,6.78738613664826
Indonesia,Female,15-24,2013,112931.081248433,13892.8775991402,8.12870339082395,97281.3819655523,14282.5336448838,6.81121321918956
Indonesia,Female,15-24,2014,113535.915606807,13857.0041763965,8.19339549599042,97995.6862797352,14338.4990579085,6.83444521521832
Indonesia,Female,15-24,2015,113609.370076594,13849.9801091746,8.20285438542517,98826.3169265543,14426.0518930454,6.85054494876709
Indonesia,Female,15-24,2016,114775.80022322,13864.8951494979,8.27815854253875,99767.4775677413,14537.736562028,6.86265548574669
