location,year,sex,age,Nx
Indonesia,1990,Female,0,2193621.854759223
Indonesia,1990,Female,1,2178475.8257854995
Indonesia,1990,Female,2,2156416.811083723
Indonesia,1990,Female,3,2132849.0465423027
Indonesia,1990,Female,4,2124512.3960856306
Indonesia,1990,Female,5,2157009.093069887
Indonesia,1990,Female,6,2197645.9258063766
Indonesia,1990,Female,7,2208488.4874708015
Indonesia,1990,Female,8,2195182.697259449
Indonesia,1990,Female,9,2174270.8848674446
Indonesia,1990,Female,10,2157480.181827663
Indonesia,1990,Female,11,2137256.9921186767
Indonesia,1990,Female,12,2106195.64861359
Indonesia,1990,Female,13,2073849.990499762
Indonesia,1990,Female,14,2043085.2367486528
Indonesia,1990,Female,15,2014406.1838815117
Indonesia,1990,Female,16,1990533.0018661662
Indonesia,1990,Female,17,1970474.1016973536
Indonesia,1990,Female,18,1941917.525400713
Indonesia,1990,Female,19,1911253.8741466126
Indonesia,1990,Female,20,1885084.199354767
Indonesia,1990,Female,21,1852469.9910555126
Indonesia,1990,Female,22,1815288.3455294627
Indonesia,1990,Female,23,1777884.5300663284
Indonesia,1990,Female,24,1736129.299621396
Indonesia,1990,Female,25,1686531.4625569158
Indonesia,1990,Female,26,1635220.891843456
Indonesia,1990,Female,27,1585461.49652633
Indonesia,1990,Female,28,1538170.8790962317
Indonesia,1990,Female,29,1490504.0612412074
Indonesia,1990,Female,30,1439448.4236582778
Indonesia,1990,Female,31,1385260.316414048
Indonesia,1990,Female,32,1329676.9039088655
Indonesia,1990,Female,33,1274501.9285081248
Indonesia,1990,Female,34,1220435.6088510551
Indonesia,1990,Female,35,1165419.687161936
Indonesia,1990,Female,36,1107876.8957482385
Indonesia,1990,Female,37,1050802.0290991736
Indonesia,1990,Female,38,996258.4034070788
Indonesia,1990,Female,39,940270.7787491742
Indonesia,1990,Female,40,885827.0983768397
Indonesia,1990,Female,41,844490.0464070723
Indonesia,1990,Female,42,839949.8678728504
Indonesia,1990,Female,43,849677.2272985831
Indonesia,1990,Female,44,846006.9894468283
Indonesia,1990,Female,45,833265.722152806
Indonesia,1990,Female,46,821447.6075368798
Indonesia,1990,Female,47,811252.7761302373
Indonesia,1990,Female,48,801159.8243526841
Indonesia,1990,Female,49,789888.2456061944
Indonesia,1990,Female,50,777012.3438497724
Indonesia,1990,Female,51,762241.8133511541
Indonesia,1990,Female,52,745073.5913601755
Indonesia,1990,Female,53,725328.2720129611
Indonesia,1990,Female,54,702977.697520179
Indonesia,1990,Female,55,678341.1235147564
Indonesia,1990,Female,56,652366.1227635755
Indonesia,1990,Female,57,625976.4067665904
Indonesia,1990,Female,58,599422.6805924213
Indonesia,1990,Female,59,572727.2324976535
Indonesia,1990,Female,60,545655.5619315469
Indonesia,1990,Female,61,517848.4911771051
Indonesia,1990,Female,62,488964.3766878573
Indonesia,1990,Female,63,458887.4639345096
Indonesia,1990,Female,64,427900.622040889
Indonesia,1990,Female,65,396573.57614644145
Indonesia,1990,Female,66,366258.51396100875
Indonesia,1990,Female,67,338273.7099486965
Indonesia,1990,Female,68,312952.3306477361
Indonesia,1990,Female,69,290130.0442178899
Indonesia,1990,Female,70,269450.31134254596
Indonesia,1990,Female,71,250160.6116809876
Indonesia,1990,Female,72,231802.72735368428
Indonesia,1990,Female,73,214089.98723971858
Indonesia,1990,Female,74,197002.38968759842
Indonesia,1990,Female,75,180451.825650726
Indonesia,1990,Female,76,163932.6057478055
Indonesia,1990,Female,77,147290.34069567206
Indonesia,1990,Female,78,130562.29909598119
Indonesia,1990,Female,79,114066.30622907719
Indonesia,1990,Female,80,98186.44365115168
Indonesia,1990,Female,81,83264.24407973044
Indonesia,1990,Female,82,69529.28828504935
Indonesia,1990,Female,83,57147.38417677624
Indonesia,1990,Female,84,46147.30495482656
Indonesia,1990,Female,85,36561.01893812467
Indonesia,1990,Female,86,28410.749757644673
Indonesia,1990,Female,87,21639.79157634926
Indonesia,1990,Female,88,16156.440795813984
Indonesia,1990,Female,89,11811.540614392454
Indonesia,1990,Female,90,8455.10233331502
Indonesia,1990,Female,91,5939.975661293479
Indonesia,1990,Female,92,4113.079031629112
Indonesia,1990,Female,93,2809.155278488286
Indonesia,1990,Female,94,1874.8192733199157
Indonesia,1990,Female,95,1215.579669004142
Indonesia,1990,Female,96,756.8356781306242
Indonesia,1990,Female,97,448.6830533292791
Indonesia,1990,Female,98,262.49699211604485
Indonesia,1990,Female,99,176.2442176983508
Indonesia,1990,Female,100,178.14522551524004
Indonesia,1990,Male,0,2322329.841938878
Indonesia,1990,Male,1,2301591.357245513
Indonesia,1990,Male,2,2275998.534590305
Indonesia,1990,Male,3,2248028.9940414517
Indonesia,1990,Male,4,2234086.3422749913
Indonesia,1990,Male,5,2266701.760301401
Indonesia,1990,Male,6,2308276.5985649554
Indonesia,1990,Male,7,2314519.459957473
Indonesia,1990,Male,8,2293473.796254056
Indonesia,1990,Male,9,2265388.3506936315
Indonesia,1990,Male,10,2242192.477374256
Indonesia,1990,Male,11,2215714.28518556
Indonesia,1990,Male,12,2178129.165417576
Indonesia,1990,Male,13,2139217.948190793
Indonesia,1990,Male,14,2101888.391248626
Indonesia,1990,Male,15,2066792.0259078944
Indonesia,1990,Male,16,2037581.5386693617
Indonesia,1990,Male,17,2013437.4378449586
Indonesia,1990,Male,18,1979579.5623846904
Indonesia,1990,Male,19,1943722.0785631686
Indonesia,1990,Male,20,1913757.7055759593
Indonesia,1990,Male,21,1876301.9438940373
Indonesia,1990,Male,22,1834121.1039360284
Indonesia,1990,Male,23,1792965.7167103416
Indonesia,1990,Male,24,1747621.73998046
Indonesia,1990,Male,25,1693830.6389354602
Indonesia,1990,Male,26,1639863.3561860353
Indonesia,1990,Male,27,1588658.982976918
Indonesia,1990,Male,28,1540069.2529388294
Indonesia,1990,Male,29,1490624.9713492196
Indonesia,1990,Male,30,1437153.2837100595
Indonesia,1990,Male,31,1380825.1569323724
Indonesia,1990,Male,32,1323288.2588708051
Indonesia,1990,Male,33,1266034.0680503135
Indonesia,1990,Male,34,1209912.887816108
Indonesia,1990,Male,35,1153116.1431052173
Indonesia,1990,Male,36,1094195.8612672612
Indonesia,1990,Male,37,1035811.636223027
Indonesia,1990,Male,38,980180.1180814236
Indonesia,1990,Male,39,924635.791763958
Indonesia,1990,Male,40,869032.0132625747
Indonesia,1990,Male,41,820353.4188236134
Indonesia,1990,Male,42,799730.9503269546
Indonesia,1990,Male,43,792869.2178398721
Indonesia,1990,Male,44,780526.3471767575
Indonesia,1990,Male,45,765234.9625762063
Indonesia,1990,Male,46,753295.7982566343
Indonesia,1990,Male,47,744328.0834668638
Indonesia,1990,Male,48,736357.7469707911
Indonesia,1990,Male,49,727701.4938101647
Indonesia,1990,Male,50,717756.9199968412
Indonesia,1990,Male,51,705944.7369840487
Indonesia,1990,Male,52,691001.0501833482
Indonesia,1990,Male,53,672630.1503569692
Indonesia,1990,Male,54,650887.4773483534
Indonesia,1990,Male,55,626262.983228796
Indonesia,1990,Male,56,600274.7802071661
Indonesia,1990,Male,57,574425.5915734723
Indonesia,1990,Male,58,549175.7507229656
Indonesia,1990,Male,59,524621.1710703801
Indonesia,1990,Male,60,500365.3596929568
Indonesia,1990,Male,61,475599.53592037753
Indonesia,1990,Male,62,449558.5941763351
Indonesia,1990,Male,63,422043.86890762555
Indonesia,1990,Male,64,393310.5835905524
Indonesia,1990,Male,65,363844.69384900626
Indonesia,1990,Male,66,334721.9862719118
Indonesia,1990,Male,67,306984.22024825204
Indonesia,1990,Male,68,280917.4690101455
Indonesia,1990,Male,69,256507.33528024834
Indonesia,1990,Male,70,233735.78598040747
Indonesia,1990,Male,71,212666.47151395245
Indonesia,1990,Male,72,193298.11734128307
Indonesia,1990,Male,73,175582.01709994389
Indonesia,1990,Male,74,159370.77267024392
Indonesia,1990,Male,75,144340.46720049818
Indonesia,1990,Male,76,129715.97110639987
Indonesia,1990,Male,77,115194.9907634373
Indonesia,1990,Male,78,100719.66436186581
Indonesia,1990,Male,79,86585.17559852859
Indonesia,1990,Male,80,73172.78223724484
Indonesia,1990,Male,81,60804.452595828254
Indonesia,1990,Male,82,49597.80685313352
Indonesia,1990,Male,83,39674.99239805884
Indonesia,1990,Male,84,31288.15778396793
Indonesia,1990,Male,85,24383.444961595615
Indonesia,1990,Male,86,18780.839427175735
Indonesia,1990,Male,87,14156.774878932947
Indonesia,1990,Male,88,10269.659278505507
Indonesia,1990,Male,89,7259.705074401362
Indonesia,1990,Male,90,5026.409468868768
Indonesia,1990,Male,91,3393.9261523059477
Indonesia,1990,Male,92,2241.058964494921
Indonesia,1990,Male,93,1450.6995485952518
Indonesia,1990,Male,94,913.584332817691
Indonesia,1990,Male,95,562.0419351440116
Indonesia,1990,Male,96,339.2214315604859
Indonesia,1990,Male,97,196.6096265155291
Indonesia,1990,Male,98,112.70807988035926
Indonesia,1990,Male,99,74.94804517874621
Indonesia,1990,Male,100,79.88720568358336
Indonesia,1991,Female,0,2208238.6027475847
Indonesia,1991,Female,1,2162254.120553518
Indonesia,1991,Female,2,2155111.2519113463
Indonesia,1991,Female,3,2150674.966030892
Indonesia,1991,Female,4,2121623.3670444186
Indonesia,1991,Female,5,2122951.8849798087
Indonesia,1991,Female,6,2153594.208127638
Indonesia,1991,Female,7,2191077.4740556995
Indonesia,1991,Female,8,2209053.09553261
Indonesia,1991,Female,9,2193102.993813097
Indonesia,1991,Female,10,2172094.920812304
Indonesia,1991,Female,11,2154548.355798431
Indonesia,1991,Female,12,2136689.2018106827
Indonesia,1991,Female,13,2105339.7311988645
Indonesia,1991,Female,14,2069432.4157419046
Indonesia,1991,Female,15,2040549.085435216
Indonesia,1991,Female,16,2014777.1555652178
Indonesia,1991,Female,17,1987795.9431419254
Indonesia,1991,Female,18,1965265.698023561
Indonesia,1991,Female,19,1940787.8204485495
Indonesia,1991,Female,20,1909117.5061341012
Indonesia,1991,Female,21,1880360.3199127053
Indonesia,1991,Female,22,1850500.0395688235
Indonesia,1991,Female,23,1813381.5956289188
Indonesia,1991,Female,24,1773451.2008694247
Indonesia,1991,Female,25,1733572.6138110303
Indonesia,1991,Female,26,1684420.9390596338
Indonesia,1991,Female,27,1631408.28783556
Indonesia,1991,Female,28,1582326.7107400382
Indonesia,1991,Female,29,1535518.2344652493
Indonesia,1991,Female,30,1487369.5307438935
Indonesia,1991,Female,31,1436231.066781026
Indonesia,1991,Female,32,1382201.226404437
Indonesia,1991,Female,33,1326355.2286445918
Indonesia,1991,Female,34,1271419.2226146504
Indonesia,1991,Female,35,1217098.420736962
Indonesia,1991,Female,36,1162115.8907611007
Indonesia,1991,Female,37,1104928.7022377886
Indonesia,1991,Female,38,1046541.1381481535
Indonesia,1991,Female,39,993871.0578414183
Indonesia,1991,Female,40,938284.9314374155
Indonesia,1991,Female,41,877860.1991818493
Indonesia,1991,Female,42,844585.1517158597
Indonesia,1991,Female,43,837307.7960886165
Indonesia,1991,Female,44,842744.6245234355
Indonesia,1991,Female,45,843478.5992104342
Indonesia,1991,Female,46,829210.7425161826
Indonesia,1991,Female,47,816445.3817695292
Indonesia,1991,Female,48,806628.4238771766
Indonesia,1991,Female,49,796152.6424678526
Indonesia,1991,Female,50,784408.141165284
Indonesia,1991,Female,51,771330.9501485054
Indonesia,1991,Female,52,756203.6373813349
Indonesia,1991,Female,53,738746.0111183636
Indonesia,1991,Female,54,718776.8080362538
Indonesia,1991,Female,55,696083.4206310171
Indonesia,1991,Female,56,671246.3617233222
Indonesia,1991,Female,57,645050.0112929095
Indonesia,1991,Female,58,618239.8644946641
Indonesia,1991,Female,59,591369.0084757609
Indonesia,1991,Female,60,564284.1544976438
Indonesia,1991,Female,61,536746.8123012854
Indonesia,1991,Female,62,508510.05739328294
Indonesia,1991,Female,63,479260.38352478796
Indonesia,1991,Female,64,448910.0407446599
Indonesia,1991,Female,65,417600.0751514416
Indonesia,1991,Female,66,386128.1551900703
Indonesia,1991,Female,67,355602.6087465393
Indonesia,1991,Female,68,327398.98209651414
Indonesia,1991,Female,69,301764.1372574758
Indonesia,1991,Female,70,278573.5739218125
Indonesia,1991,Female,71,257445.49302081
Indonesia,1991,Female,72,237757.3798953234
Indonesia,1991,Female,73,218949.70717234834
Indonesia,1991,Female,74,200903.0469169434
Indonesia,1991,Female,75,183593.63056714067
Indonesia,1991,Female,76,166889.85403800494
Indonesia,1991,Female,77,150444.25345086295
Indonesia,1991,Female,78,133972.04147892838
Indonesia,1991,Female,79,117640.63131015873
Indonesia,1991,Female,80,101742.52347381569
Indonesia,1991,Female,81,86608.21381779244
Indonesia,1991,Female,82,72539.62127523587
Indonesia,1991,Female,83,59788.43934863452
Indonesia,1991,Female,84,48440.67271859868
Indonesia,1991,Female,85,38520.6492604774
Indonesia,1991,Female,86,30035.56626657332
Indonesia,1991,Female,87,22945.7036034477
Indonesia,1991,Female,88,17181.271059257062
Indonesia,1991,Female,89,12599.256201137661
Indonesia,1991,Female,90,9038.868541686128
Indonesia,1991,Female,91,6342.534892207004
Indonesia,1991,Female,92,4363.46100706656
Indonesia,1991,Female,93,2951.818935121208
Indonesia,1991,Female,94,1963.3387261381301
Indonesia,1991,Female,95,1282.0927708877994
Indonesia,1991,Female,96,807.8996533658601
Indonesia,1991,Female,97,481.658116482025
Indonesia,1991,Female,98,278.6784191877956
Indonesia,1991,Female,99,182.9946845212954
Indonesia,1991,Female,100,187.78558379964574
Indonesia,1991,Male,0,2340387.953930992
Indonesia,1991,Male,1,2281977.6033868543
Indonesia,1991,Male,2,2275505.0781983826
Indonesia,1991,Male,3,2271968.4446479054
Indonesia,1991,Male,4,2233822.722730639
Indonesia,1991,Male,5,2231345.878134617
Indonesia,1991,Male,6,2262966.763349858
Indonesia,1991,Male,7,2300510.3526855437
Indonesia,1991,Male,8,2314777.9473234783
Indonesia,1991,Male,9,2290864.2398469835
Indonesia,1991,Male,10,2262358.5133692767
Indonesia,1991,Male,11,2238588.767872729
Indonesia,1991,Male,12,2214918.2283879435
Indonesia,1991,Male,13,2176772.8719808874
Indonesia,1991,Male,14,2133761.585082209
Indonesia,1991,Male,15,2098405.0409227894
Indonesia,1991,Male,16,2066426.0238215376
Indonesia,1991,Male,17,2033384.3459646231
Indonesia,1991,Male,18,2006256.684318091
Indonesia,1991,Male,19,1977139.6735387384
Indonesia,1991,Male,20,1939664.8321097873
Indonesia,1991,Male,21,1906527.456847074
Indonesia,1991,Male,22,1872717.6664836209
Indonesia,1991,Male,23,1830642.6383972552
Indonesia,1991,Male,24,1786346.9820554047
Indonesia,1991,Male,25,1743790.3417788283
Indonesia,1991,Male,26,1691007.353359964
Indonesia,1991,Male,27,1634747.4660139724
Indonesia,1991,Male,28,1584576.2447233205
Indonesia,1991,Male,29,1537114.580947923
Indonesia,1991,Male,30,1486948.6987894513
Indonesia,1991,Male,31,1433484.2801423175
Indonesia,1991,Male,32,1377382.3227359871
Indonesia,1991,Male,33,1319733.4103083322
Indonesia,1991,Male,34,1262669.677823408
Indonesia,1991,Male,35,1206247.4805713887
Indonesia,1991,Male,36,1149656.2288628807
Indonesia,1991,Male,37,1091109.4650693473
Indonesia,1991,Male,38,1031301.3687283191
Indonesia,1991,Male,39,977479.8396746138
Indonesia,1991,Male,40,922238.5966694042
Indonesia,1991,Male,41,862054.2638496241
Indonesia,1991,Male,42,819270.135945524
Indonesia,1991,Male,43,796282.164832277
Indonesia,1991,Male,44,786756.5812691854
Indonesia,1991,Male,45,777615.6760890284
Indonesia,1991,Male,46,760499.2407299187
Indonesia,1991,Male,47,747857.2853324898
Indonesia,1991,Male,48,739328.4110430125
Indonesia,1991,Male,49,730668.5175694095
Indonesia,1991,Male,50,721317.5934475336
Indonesia,1991,Male,51,711193.1299474534
Indonesia,1991,Male,52,698764.6587169832
Indonesia,1991,Male,53,683362.665006425
Indonesia,1991,Male,54,664603.7118967398
Indonesia,1991,Male,55,642253.3360369032
Indonesia,1991,Male,56,617273.5749202732
Indonesia,1991,Male,57,590929.178251958
Indonesia,1991,Male,58,564459.2033015324
Indonesia,1991,Male,59,538812.396307808
Indonesia,1991,Male,60,513804.34321371996
Indonesia,1991,Male,61,488976.3076068982
Indonesia,1991,Male,62,463754.0618335134
Indonesia,1991,Male,63,437296.567657592
Indonesia,1991,Male,64,409463.7840111279
Indonesia,1991,Male,65,380437.64081337024
Indonesia,1991,Male,66,350869.07213151467
Indonesia,1991,Male,67,321643.9948027994
Indonesia,1991,Male,68,293870.6992616756
Indonesia,1991,Male,69,267780.9943356148
Indonesia,1991,Male,70,243357.28693444873
Indonesia,1991,Male,71,220591.97686939273
Indonesia,1991,Male,72,199530.1642966451
Indonesia,1991,Male,73,180205.12759091475
Indonesia,1991,Male,74,162549.30907333884
Indonesia,1991,Male,75,146433.30715427693
Indonesia,1991,Male,76,131527.38148148934
Indonesia,1991,Male,77,117249.9601131066
Indonesia,1991,Male,78,103117.06913057661
Indonesia,1991,Male,79,89250.32340086177
Indonesia,1991,Male,80,75921.25238031424
