location,year,sex,age,Nx
Indonesia,2025,Female,0,2127554
Indonesia,2025,Female,1,2134720
Indonesia,2025,Female,2,2138020
Indonesia,2025,Female,3,2152240
Indonesia,2025,Female,4,2161798
Indonesia,2025,Female,5,2177813
Indonesia,2025,Female,6,2186969
Indonesia,2025,Female,7,2194583
Indonesia,2025,Female,8,2220844
Indonesia,2025,Female,9,2270596
Indonesia,2025,Female,10,2297081
Indonesia,2025,Female,11,2331302
Indonesia,2025,Female,12,2366636
Indonesia,2025,Female,13,2424192
Indonesia,2025,Female,14,2412175
Indonesia,2025,Female,15,2348319
Indonesia,2025,Female,16,2314540
Indonesia,2025,Female,17,2293054
Indonesia,2025,Female,18,2304743
Indonesia,2025,Female,19,2261852
Indonesia,2025,Female,20,2230411
Indonesia,2025,Female,21,2166417
Indonesia,2025,Female,22,2135367
Indonesia,2025,Female,23,2128637
Indonesia,2025,Female,24,2122856
Indonesia,2025,Female,25,2117653
Indonesia,2025,Female,26,2130971
Indonesia,2025,Female,27,2163785
Indonesia,2025,Female,28,2179855
Indonesia,2025,Female,29,2160659
Indonesia,2025,Female,30,2126296
Indonesia,2025,Female,31,2099367
Indonesia,2025,Female,32,2074199
Indonesia,2025,Female,33,2049309.0000000002
Indonesia,2025,Female,34,2059784
Indonesia,2025,Female,35,2031347
Indonesia,2025,Female,36,2045827
Indonesia,2025,Female,37,2040334
Indonesia,2025,Female,38,2011045
Indonesia,2025,Female,39,1998557
Indonesia,2025,Female,40,2029796
Indonesia,2025,Female,41,2074463.0000000002
Indonesia,2025,Female,42,2067837
Indonesia,2025,Female,43,2054228
Indonesia,2025,Female,44,2024125
Indonesia,2025,Female,45,2002247
Indonesia,2025,Female,46,1978306
Indonesia,2025,Female,47,1944187
Indonesia,2025,Female,48,1895776
Indonesia,2025,Female,49,1865659
Indonesia,2025,Female,50,1835206
Indonesia,2025,Female,51,1790395
Indonesia,2025,Female,52,1776409
Indonesia,2025,Female,53,1731379
Indonesia,2025,Female,54,1694462
Indonesia,2025,Female,55,1659563
Indonesia,2025,Female,56,1620257
Indonesia,2025,Female,57,1570071
Indonesia,2025,Female,58,1524137
Indonesia,2025,Female,59,1475305
