location,sex,age,year,measure,source,value
Uganda,Female,<1 year,2000,Incidence,model,0
Uganda,Female,12-23 months,2000,Incidence,model,536.356595154965
Uganda,Female,2-4 years,2000,Incidence,model,3452.39824121557
Uganda,Female,5-9 years,2000,Incidence,model,5476.70485350456
Uganda,Female,10-14 years,2000,Incidence,model,3768.73027713155
Uganda,Female,15-19 years,2000,Incidence,model,3538.17284522651
Uganda,Female,20-24 years,2000,Incidence,model,2684.13281942149
Uganda,Female,25-29 years,2000,Incidence,model,2052.82343500789
Uganda,Female,30-34 years,2000,Incidence,model,1497.03656403684
Uganda,Female,35-39 years,2000,Incidence,model,1030.49024790952
Uganda,Female,40-44 years,2000,Incidence,model,567.936934073756
Uganda,Female,45-49 years,2000,Incidence,model,154.064470949357
Uganda,Female,50-54 years,2000,Incidence,model,0
Uganda,Female,55-59 years,2000,Incidence,model,0
Uganda,Female,60-64 years,2000,Incidence,model,0
Uganda,Female,65-69 years,2000,Incidence,model,0
Uganda,Female,70-74 years,2000,Incidence,model,0
Uganda,Female,75-79 years,2000,Incidence,model,0
Uganda,Female,80-84 years,2000,Incidence,model,0
Uganda,Female,85-89 years,2000,Incidence,model,0
Uganda,Female,90-94 years,2000,Incidence,model,0
Uganda,Female,95+ years,2000,Incidence,model,0
Uganda,Female,<1 year,2001,Incidence,model,0
Uganda,Female,12-23 months,2001,Incidence,model,552.969956624727
Uganda,Female,2-4 years,2001,Incidence,model,3544.51771303967
Uganda,Female,5-9 years,2001,Incidence,model,5605.8043578147
Uganda,Female,10-14 years,2001,Incidence,model,3870.09193995987
Uganda,Female,15-19 years,2001,Incidence,model,3668.01153862445
Uganda,Female,20-24 years,2001,Incidence,model,2741.20660470539
Uganda,Female,25-29 years,2001,Incidence,model,2084.25605715602
Uganda,Female,30-34 years,2001,Incidence,model,1539.04791092866
Uganda,Female,35-39 years,2001,Incidence,model,1065.40741207946
Uganda,Female,40-44 years,2001,Incidence,model,585.560154036102
Uganda,Female,45-49 years,2001,Incidence,model,158.443176669801
Uganda,Female,50-54 years,2001,Incidence,model,0
Uganda,Female,55-59 years,2001,Incidence,model,0
Uganda,Female,60-64 years,2001,Incidence,model,0
Uganda,Female,65-69 years,2001,Incidence,model,0
Uganda,Female,70-74 years,2001,Incidence,model,0
Uganda,Female,75-79 years,2001,Incidence,model,0
Uganda,Female,80-84 years,2001,Incidence,model,0
Uganda,Female,85-89 years,2001,Incidence,model,0
Uganda,Female,90-94 years,2001,Incidence,model,0
Uganda,Female,95+ years,2001,Incidence,model,0
Uganda,Female,<1 year,2002,Incidence,model,0
Uganda,Female,12-23 months,2002,Incidence,model,569.537230816205
Uganda,Female,2-4 years,2002,Incidence,model,3655.11717595221
Uganda,Female,5-9 years,2002,Incidence,model,5702.42795003247
Uganda,Female,10-14 years,2002,Incidence,model,3924.81030906813
Uganda,Female,15-19 years,2002,Incidence,model,3804.84374960347
Uganda,Female,20-24 years,2002,Incidence,model,2818.33330947882
Uganda,Female,25-29 years,2002,Incidence,model,2130.1630193798
Uganda,Female,30-34 years,2002,Incidence,model,1589.29874443368
Uganda,Female,35-39 years,2002,Incidence,model,1113.30324335695
Uganda,Female,40-44 years,2002,Incidence,model,610.458507825955
Uganda,Female,45-49 years,2002,Incidence,model,164.637468827752
Uganda,Female,50-54 years,2002,Incidence,model,0
Uganda,Female,55-59 years,2002,Incidence,model,0
Uganda,Female,60-64 years,2002,Incidence,model,0
Uganda,Female,65-69 years,2002,Incidence,model,0
Uganda,Female,70-74 years,2002,Incidence,model,0
Uganda,Female,75-79 years,2002,Incidence,model,0
Uganda,Female,80-84 years,2002,Incidence,model,0
Uganda,Female,85-89 years,2002,Incidence,model,0
Uganda,Female,90-94 years,2002,Incidence,model,0
Uganda,Female,95+ years,2002,Incidence,model,0
Uganda,Female,<1 year,2003,Incidence,model,0
Uganda,Female,12-23 months,2003,Incidence,model,586.700467595161
Uganda,Female,2-4 years,2003,Incidence,model,3774.96256418943
Uganda,Female,5-9 years,2003,Incidence,model,5782.72069218828
Uganda,Female,10-14 years,2003,Incidence,model,3960.8023430195
Uganda,Female,15-19 years,2003,Incidence,model,3933.4522287279
Uganda,Female,20-24 years,2003,Incidence,model,2887.13541338827
Uganda,Female,25-29 years,2003,Incidence,model,2167.60353935846
Uganda,Female,30-34 years,2003,Incidence,model,1628.50960281834
Uganda,Female,35-39 years,2003,Incidence,model,1160.35487748609
Uganda,Female,40-44 years,2003,Incidence,model,636.025797270924
Uganda,Female,45-49 years,2003,Incidence,model,171.114169466357
