location,year,sex,age,Nx
Uganda,1990,Female,0,413298.36157909746
Uganda,1990,Female,1,379348.0113158638
Uganda,1990,Female,2,356732.71679440857
Uganda,1990,Female,3,337336.1415753333
Uganda,1990,Female,4,318554.76316523936
Uganda,1990,Female,5,300629.0793503854
Uganda,1990,Female,6,285117.33713261853
Uganda,1990,Female,7,273022.2968950068
Uganda,1990,Female,8,262477.5787901198
Uganda,1990,Female,9,252013.6193439629
Uganda,1990,Female,10,243623.36479237088
Uganda,1990,Female,11,236438.27874458532
Uganda,1990,Female,12,229249.81952242155
Uganda,1990,Female,13,222958.7129744999
Uganda,1990,Female,14,217094.39415185826
Uganda,1990,Female,15,210937.30209099437
Uganda,1990,Female,16,204797.07329481567
Uganda,1990,Female,17,199210.52223122952
Uganda,1990,Female,18,194239.7181530635
Uganda,1990,Female,19,188499.57047686924
Uganda,1990,Female,20,181151.47412137443
Uganda,1990,Female,21,174166.66222634917
Uganda,1990,Female,22,167244.5441530678
Uganda,1990,Female,23,159613.26257832546
Uganda,1990,Female,24,151788.46233034148
Uganda,1990,Female,25,144436.1366952851
Uganda,1990,Female,26,137553.3740559916
Uganda,1990,Female,27,131034.54938054585
Uganda,1990,Female,28,124833.84823723626
Uganda,1990,Female,29,119075.88493000965
Uganda,1990,Female,30,113836.04312104509
Uganda,1990,Female,31,108866.44046960045
Uganda,1990,Female,32,104003.69800848409
Uganda,1990,Female,33,99232.47032856305
Uganda,1990,Female,34,94847.28231672231
Uganda,1990,Female,35,90822.91617016208
Uganda,1990,Female,36,87010.99516248191
Uganda,1990,Female,37,83194.19782081415
Uganda,1990,Female,38,79387.35836984772
Uganda,1990,Female,39,76223.51816109642
Uganda,1990,Female,40,73067.66879077471
Uganda,1990,Female,41,68658.06906766021
Uganda,1990,Female,42,61728.9983064839
Uganda,1990,Female,43,54709.40350932071
Uganda,1990,Female,44,50111.535681937065
Uganda,1990,Female,45,46838.82177995369
Uganda,1990,Female,46,43574.97416406151
Uganda,1990,Female,47,41326.51471877172
Uganda,1990,Female,48,40153.83215977758
Uganda,1990,Female,49,39685.181777245816
Uganda,1990,Female,50,39448.909745661964
Uganda,1990,Female,51,39125.0331419621
Uganda,1990,Female,52,38960.23985559195
Uganda,1990,Female,53,38818.1783054727
Uganda,1990,Female,54,38508.46206411383
Uganda,1990,Female,55,38134.61803318782
Uganda,1990,Female,56,37687.520432585385
Uganda,1990,Female,57,37114.78466682139
Uganda,1990,Female,58,36389.530627251464
Uganda,1990,Female,59,35493.213441313266
Uganda,1990,Female,60,34420.59988768026
Uganda,1990,Female,61,33190.316634390765
Uganda,1990,Female,62,31834.46004545469
Uganda,1990,Female,63,30405.648431186542
Uganda,1990,Female,64,28918.6703537681
Uganda,1990,Female,65,27381.859928545167
Uganda,1990,Female,66,25823.55773387602
Uganda,1990,Female,67,24274.928026221645
Uganda,1990,Female,68,22753.30399533128
Uganda,1990,Female,69,21253.363628863433
Uganda,1990,Female,70,19771.412194685152
Uganda,1990,Female,71,18324.478813859667
Uganda,1990,Female,72,16911.28907545445
Uganda,1990,Female,73,15526.449189523177
Uganda,1990,Female,74,14173.13797837898
Uganda,1990,Female,75,12858.300805248522
Uganda,1990,Female,76,11593.690029351743
Uganda,1990,Female,77,10385.93517615117
Uganda,1990,Female,78,9240.700622290327
Uganda,1990,Female,79,8166.53637074279
Uganda,1990,Female,80,7167.923681086393
Uganda,1990,Female,81,6233.324164940024
Uganda,1990,Female,82,5358.9730917604875
Uganda,1990,Female,83,4547.418134275616
Uganda,1990,Female,84,3810.79484384127
Uganda,1990,Female,85,3152.0185165699518
Uganda,1990,Female,86,2570.514661495113
Uganda,1990,Female,87,2064.1413458943853
Uganda,1990,Female,88,1630.0247256634943
Uganda,1990,Female,89,1263.9052540139107
Uganda,1990,Female,90,961.081337564292
Uganda,1990,Female,91,715.9428927238181
Uganda,1990,Female,92,520.1444938674739
Uganda,1990,Female,93,367.64421668864696
Uganda,1990,Female,94,252.39630972424527
Uganda,1990,Female,95,165.15322026983534
Uganda,1990,Female,96,97.81948758526212
Uganda,1990,Female,97,49.74188923469357
Uganda,1990,Female,98,20.74802188045718
Uganda,1990,Female,99,8.434419485778385
Uganda,1990,Female,100,2.945088393924171
Uganda,1990,Male,0,415564.94648764736
Uganda,1990,Male,1,378652.1910384523
Uganda,1990,Male,2,354579.78871347604
Uganda,1990,Male,3,334716.6033478998
Uganda,1990,Male,4,315671.9402814337
Uganda,1990,Male,5,297600.6028607902
