location,year,sex,age,Nx
Uganda,2025,Female,0,835733
Uganda,2025,Female,1,823503
Uganda,2025,Female,2,814804
Uganda,2025,Female,3,802388
Uganda,2025,Female,4,789103
Uganda,2025,Female,5,772574
Uganda,2025,Female,6,754819
Uganda,2025,Female,7,737426
Uganda,2025,Female,8,717039
Uganda,2025,Female,9,697777
Uganda,2025,Female,10,685288
Uganda,2025,Female,11,673683
Uganda,2025,Female,12,664321
Uganda,2025,Female,13,655693
Uganda,2025,Female,14,645119
Uganda,2025,Female,15,632103
Uganda,2025,Female,16,615605
Uganda,2025,Female,17,596900
Uganda,2025,Female,18,581696
Uganda,2025,Female,19,564875
Uganda,2025,Female,20,548320
Uganda,2025,Female,21,533129
Uganda,2025,Female,22,516991
Uganda,2025,Female,23,502943
Uganda,2025,Female,24,489413
Uganda,2025,Female,25,475490
Uganda,2025,Female,26,462081
Uganda,2025,Female,27,445698
Uganda,2025,Female,28,434069
Uganda,2025,Female,29,416378
Uganda,2025,Female,30,407212
Uganda,2025,Female,31,389634
Uganda,2025,Female,32,370491
Uganda,2025,Female,33,352202
Uganda,2025,Female,34,333701
Uganda,2025,Female,35,318373
Uganda,2025,Female,36,300721
Uganda,2025,Female,37,284904
Uganda,2025,Female,38,268547
Uganda,2025,Female,39,250636
Uganda,2025,Female,40,233761
Uganda,2025,Female,41,217595
Uganda,2025,Female,42,205202
Uganda,2025,Female,43,193988
Uganda,2025,Female,44,183405
Uganda,2025,Female,45,173572
Uganda,2025,Female,46,166528
Uganda,2025,Female,47,158619
Uganda,2025,Female,48,151979
Uganda,2025,Female,49,145955
Uganda,2025,Female,50,140410
Uganda,2025,Female,51,134191
Uganda,2025,Female,52,129408.99999999999
Uganda,2025,Female,53,125004
Uganda,2025,Female,54,119952
Uganda,2025,Female,55,114209
Uganda,2025,Female,56,108310
Uganda,2025,Female,57,103061
Uganda,2025,Female,58,97084
Uganda,2025,Female,59,91030
Uganda,2025,Female,60,85493
Uganda,2025,Female,61,80176
Uganda,2025,Female,62,75200
Uganda,2025,Female,63,70450
Uganda,2025,Female,64,65934
Uganda,2025,Female,65,61762
Uganda,2025,Female,66,57865
Uganda,2025,Female,67,53964
Uganda,2025,Female,68,50275
Uganda,2025,Female,69,46830
Uganda,2025,Female,70,43637
Uganda,2025,Female,71,40576
Uganda,2025,Female,72,37593
Uganda,2025,Female,73,34761
Uganda,2025,Female,74,32061.999999999996
Uganda,2025,Female,75,29694
Uganda,2025,Female,76,26992
Uganda,2025,Female,77,23107
Uganda,2025,Female,78,19656
Uganda,2025,Female,79,17078
Uganda,2025,Female,80,15103
Uganda,2025,Female,81,13438
Uganda,2025,Female,82,11822
Uganda,2025,Female,83,10871
Uganda,2025,Female,84,9960
Uganda,2025,Female,85,9081
Uganda,2025,Female,86,8238
Uganda,2025,Female,87,7409
Uganda,2025,Female,88,6562
Uganda,2025,Female,89,5715
Uganda,2025,Female,90,4892
Uganda,2025,Female,91,4128
Uganda,2025,Female,92,3436
Uganda,2025,Female,93,2809
Uganda,2025,Female,94,2249
Uganda,2025,Female,95,1761
Uganda,2025,Female,96,1346
Uganda,2025,Female,97,1006
Uganda,2025,Female,98,735
Uganda,2025,Female,99,525
Uganda,2025,Female,100,1045
Uganda,2025,Male,0,855436
Uganda,2025,Male,1,842220
Uganda,2025,Male,2,832789
Uganda,2025,Male,3,819572
Uganda,2025,Male,4,805513
Uganda,2025,Male,5,788218
Uganda,2025,Male,6,769736
Uganda,2025,Male,7,751724
Uganda,2025,Male,8,730109
Uganda,2025,Male,9,709427
Uganda,2025,Male,10,695594
Uganda,2025,Male,11,682611
Uganda,2025,Male,12,671705
Uganda,2025,Male,13,661584
Uganda,2025,Male,14,650143
Uganda,2025,Male,15,635860
Uganda,2025,Male,16,618208
Uganda,2025,Male,17,598112
Uganda,2025,Male,18,581585
Uganda,2025,Male,19,563450
Uganda,2025,Male,20,545889
Uganda,2025,Male,21,529621
Uganda,2025,Male,22,512847
Uganda,2025,Male,23,498445
Uganda,2025,Male,24,484756
Uganda,2025,Male,25,470682
Uganda,2025,Male,26,456946
Uganda,2025,Male,27,440090
Uganda,2025,Male,28,428319
Uganda,2025,Male,29,410154
Uganda,2025,Male,30,400697
Uganda,2025,Male,31,382776
Uganda,2025,Male,32,363337
Uganda,2025,Male,33,344753
Uganda,2025,Male,34,326027
Uganda,2025,Male,35,310273
Uganda,2025,Male,36,292527
Uganda,2025,Male,37,276538
Uganda,2025,Male,38,260415.00000000003
Uganda,2025,Male,39,242804
Uganda,2025,Male,40,226088
Uganda,2025,Male,41,210025
Uganda,2025,Male,42,197543
Uganda,2025,Male,43,186175
Uganda,2025,Male,44,175635
Uganda,2025,Male,45,165930
Uganda,2025,Male,46,158809
Uganda,2025,Male,47,150786
Uganda,2025,Male,48,144049
Uganda,2025,Male,49,137785
Uganda,2025,Male,50,131950
Uganda,2025,Male,51,125456
Uganda,2025,Male,52,120355
Uganda,2025,Male,53,115542
Uganda,2025,Male,54,110092
Uganda,2025,Male,55,104017
Uganda,2025,Male,56,97764
Uganda,2025,Male,57,92037
Uganda,2025,Male,58,85631
Uganda,2025,Male,59,79154
Uganda,2025,Male,60,73142
Uganda,2025,Male,61,67430
Uganda,2025,Male,62,62160
Uganda,2025,Male,63,57206
Uganda,2025,Male,64,52616
Uganda,2025,Male,65,48483
Uganda,2025,Male,66,44681
Uganda,2025,Male,67,41024
Uganda,2025,Male,68,37611
Uganda,2025,Male,69,34488
Uganda,2025,Male,70,31637
Uganda,2025,Male,71,28934
Uganda,2025,Male,72,26348
Uganda,2025,Male,73,23917
Uganda,2025,Male,74,21619
Uganda,2025,Male,75,19594
Uganda,2025,Male,76,18526
Uganda,2025,Male,77,15511
Uganda,2025,Male,78,12858
Uganda,2025,Male,79,10790
Uganda,2025,Male,80,9199
Uganda,2025,Male,81,7872
Uganda,2025,Male,82,6647
Uganda,2025,Male,83,5780
Uganda,2025,Male,84,4999
Uganda,2025,Male,85,4297
Uganda,2025,Male,86,3668
Uganda,2025,Male,87,3097
Uganda,2025,Male,88,2573
Uganda,2025,Male,89,2096
Uganda,2025,Male,90,1677
Uganda,2025,Male,91,1322
Uganda,2025,Male,92,1030
Uganda,2025,Male,93,787
Uganda,2025,Male,94,587
Uganda,2025,Male,95,427
Uganda,2025,Male,96,301
Uganda,2025,Male,97,207
Uganda,2025,Male,98,137
Uganda,2025,Male,99,88
Uganda,2025,Male,100,133
Uganda,2026,Female,0,842103
Uganda,2026,Female,1,830041
Uganda,2026,Female,2,819644
Uganda,2026,Female,3,811975
Uganda,2026,Female,4,800148
Uganda,2026,Female,5,787251
Uganda,2026,Female,6,770986
Uganda,2026,Female,7,753416
Uganda,2026,Female,8,736167
Uganda,2026,Female,9,715896
Uganda,2026,Female,10,696724
Uganda,2026,Female,11,684301
Uganda,2026,Female,12,672742
Uganda,2026,Female,13,663404
Uganda,2026,Female,14,654761
Uganda,2026,Female,15,643997
Uganda,2026,Female,16,630308
Uganda,2026,Female,17,612466
Uganda,2026,Female,18,591971
Uganda,2026,Female,19,575015
Uganda,2026,Female,20,556966
Uganda,2026,Female,21,540072
Uganda,2026,Female,22,525520
Uganda,2026,Female,23,510718
Uganda,2026,Female,24,498240
Uganda,2026,Female,25,486139
Uganda,2026,Female,26,473327
Uganda,2026,Female,27,460686
Uganda,2026,Female,28,444794
Uganda,2026,Female,29,433440
Uganda,2026,Female,30,415894
Uganda,2026,Female,31,406773
Uganda,2026,Female,32,389199
Uganda,2026,Female,33,370027
Uganda,2026,Female,34,351696
Uganda,2026,Female,35,333143
Uganda,2026,Female,36,317753
Uganda,2026,Female,37,300055
Uganda,2026,Female,38,284186
Uganda,2026,Female,39,267784
Uganda,2026,Female,40,249840
Uganda,2026,Female,41,232941
Uganda,2026,Female,42,216754
Uganda,2026,Female,43,204328
Uganda,2026,Female,44,193087
Uganda,2026,Female,45,182473
Uganda,2026,Female,46,172611
Uganda,2026,Female,47,165527
Uganda,2026,Female,48,157579
Uganda,2026,Female,49,150894
Uganda,2026,Female,50,144819
Uganda,2026,Female,51,139231
Uganda,2026,Female,52,132976
Uganda,2026,Female,53,128143
Uganda,2026,Female,54,123694
Uganda,2026,Female,55,118603
Uganda,2026,Female,56,112828
Uganda,2026,Female,57,106901
Uganda,2026,Female,58,101614
Uganda,2026,Female,59,95608
Uganda,2026,Female,60,89520
Uganda,2026,Female,61,83952
Uganda,2026,Female,62,78606
Uganda,2026,Female,63,73589
Uganda,2026,Female,64,68807
Uganda,2026,Female,65,64254.99999999999
Uganda,2026,Female,66,60082
Uganda,2026,Female,67,56214
Uganda,2026,Female,68,52339
Uganda,2026,Female,69,48678
Uganda,2026,Female,70,45250
Uganda,2026,Female,71,42083
Uganda,2026,Female,72,39052
Uganda,2026,Female,73,36094
Uganda,2026,Female,74,33300
Uganda,2026,Female,75,30639
Uganda,2026,Female,76,28490
Uganda,2026,Female,77,25852
Uganda,2026,Female,78,22086
Uganda,2026,Female,79,18748
Uganda,2026,Female,80,16254.999999999998
Uganda,2026,Female,81,14328
Uganda,2026,Female,82,12672
Uganda,2026,Female,83,11064
Uganda,2026,Female,84,10093
Uganda,2026,Female,85,9169
Uganda,2026,Female,86,8287
Uganda,2026,Female,87,7447
Uganda,2026,Female,88,6629
Uganda,2026,Female,89,5807
Uganda,2026,Female,90,4994
Uganda,2026,Female,91,4221
Uganda,2026,Female,92,3515
Uganda,2026,Female,93,2880
Uganda,2026,Female,94,2317
Uganda,2026,Female,95,1823
Uganda,2026,Female,96,1401
Uganda,2026,Female,97,1052
Uganda,2026,Female,98,772
Uganda,2026,Female,99,553
Uganda,2026,Female,100,1103
Uganda,2026,Male,0,862286
Uganda,2026,Male,1,849114
Uganda,2026,Male,2,838152
Uganda,2026,Male,3,829826
Uganda,2026,Male,4,817261
Uganda,2026,Male,5,803632
Uganda,2026,Male,6,786618
Uganda,2026,Male,7,768317
Uganda,2026,Male,8,750448
Uganda,2026,Male,9,728952
Uganda,2026,Male,10,708360
Uganda,2026,Male,11,694585
Uganda,2026,Male,12,681638
Uganda,2026,Male,13,670745
Uganda,2026,Male,14,660589
Uganda,2026,Male,15,648936
Uganda,2026,Male,16,633979
Uganda,2026,Male,17,615012
Uganda,2026,Male,18,593177
Uganda,2026,Male,19,574963
Uganda,2026,Male,20,555655
Uganda,2026,Male,21,537765
Uganda,2026,Male,22,522104.00000000006
Uganda,2026,Male,23,506613
Uganda,2026,Male,24,493717
Uganda,2026,Male,25,481395
Uganda,2026,Male,26,468381
Uganda,2026,Male,27,455375
Uganda,2026,Male,28,438980
Uganda,2026,Male,29,427456
Uganda,2026,Male,30,409418
Uganda,2026,Male,31,399978
Uganda,2026,Male,32,382048
Uganda,2026,Male,33,362571
Uganda,2026,Male,34,343935
Uganda,2026,Male,35,325149
Uganda,2026,Male,36,309328
Uganda,2026,Male,37,291529
Uganda,2026,Male,38,275482
Uganda,2026,Male,39,259312
