location,sex,cause,age.group,ir_mult,cf_mult,granularity
Indonesia,Female,Rheumatic heart disease,<1 year,1.34791112761013,1.25101691693999,age_group
Indonesia,Female,Rheumatic heart disease,10-14 years,1.1675307364203,1.28861280484125,age_group
Indonesia,Female,Rheumatic heart disease,12-23 months,1.33123638108373,0.728152638301253,age_group
Indonesia,Female,Rheumatic heart disease,15-19 years,0.996652198722586,0.551082520512864,age_group
Indonesia,Female,Rheumatic heart disease,2-4 years,1.45721872057766,0.553619322832674,age_group
Indonesia,Female,Rheumatic heart disease,20-24 years,1.11409688158892,0.569075416540727,age_group
Indonesia,Female,Rheumatic heart disease,25-29 years,0.540884259389713,1.07005385053344,age_group
Indonesia,Female,Rheumatic heart disease,30-34 years,0.523211365798488,1.429941999726,age_group
Indonesia,Female,Rheumatic heart disease,35-39 years,0.989396998658776,1.12473956658505,age_group
Indonesia,Female,Rheumatic heart disease,40-44 years,0.707919449545443,0.792327498085797,age_group
Indonesia,Female,Rheumatic heart disease,45-49 years,0.809623503824696,1.04784208955243,age_group
Indonesia,Female,Rheumatic heart disease,5-9 years,1.10783527442254,0.609353767475113,age_group
Indonesia,Female,Rheumatic heart disease,50-54 years,1.058724447852,0.618681354215369,age_group
Indonesia,Female,Rheumatic heart disease,55-59 years,1.36488108593039,1.46047360589728,age_group
Indonesia,Female,Rheumatic heart disease,60-64 years,0.912790466332808,1.46665147063322,age_group
Indonesia,Female,Rheumatic heart disease,65-69 years,0.833301893668249,1.42780469078571,age_group
Indonesia,Female,Rheumatic heart disease,70-74 years,0.686676419572905,1.16162160923705,age_group
Indonesia,Female,Rheumatic heart disease,75-79 years,0.517004777910188,1.48099756240845,age_group
Indonesia,Female,Rheumatic heart disease,80-84 years,0.51872511766851,1.48472390254028,age_group
Indonesia,Female,Rheumatic heart disease,85-89 years,1.33869262365624,1.12788806552999,age_group
Indonesia,Female,Rheumatic heart disease,90-94 years,0.843423137674108,1.47205025772564,age_group
Indonesia,Female,Rheumatic heart disease,95+ years,0.978074382757768,0.6741641855333,age_group
Indonesia,Male,Rheumatic heart disease,<1 year,0.667006581323221,0.843149154447019,age_group
Indonesia,Male,Rheumatic heart disease,10-14 years,0.649553373921663,1.0261235027574,age_group
Indonesia,Male,Rheumatic heart disease,12-23 months,0.696173710748553,0.912531129084527,age_group
Indonesia,Male,Rheumatic heart disease,15-19 years,0.883100130129606,0.680418151430786,age_group
Indonesia,Male,Rheumatic heart disease,2-4 years,0.580221054609865,0.966049945214763,age_group
Indonesia,Male,Rheumatic heart disease,20-24 years,1.08797945617698,0.71517269522883,age_group
Indonesia,Male,Rheumatic heart disease,25-29 years,0.617925706319511,0.950506418477744,age_group
Indonesia,Male,Rheumatic heart disease,30-34 years,0.628475338453427,0.645316169364378,age_group
Indonesia,Male,Rheumatic heart disease,35-39 years,1.41626727348194,0.539964725961909,age_group
Indonesia,Male,Rheumatic heart disease,40-44 years,0.739542346913368,1.43814804265276,age_group
Indonesia,Male,Rheumatic heart disease,45-49 years,0.914945491123945,1.12349788378924,age_group
Indonesia,Male,Rheumatic heart disease,5-9 years,1.28969675162807,0.807743900222704,age_group
Indonesia,Male,Rheumatic heart disease,50-54 years,0.525333771249279,1.02360830758698,age_group
Indonesia,Male,Rheumatic heart disease,55-59 years,0.887229970656335,1.40855001285672,age_group
Indonesia,Male,Rheumatic heart disease,60-64 years,0.884338109986857,1.30887782177888,age_group
Indonesia,Male,Rheumatic heart disease,65-69 years,0.95395000744611,1.14996732096188,age_group
Indonesia,Male,Rheumatic heart disease,70-74 years,0.565875045955181,1.2522950170096,age_group
Indonesia,Male,Rheumatic heart disease,75-79 years,1.348593628034,1.45941540342756,age_group
Indonesia,Male,Rheumatic heart disease,80-84 years,1.44711135234684,1.47215041145682,age_group
Indonesia,Male,Rheumatic heart disease,85-89 years,1.447173722554,1.2558905465994,age_group
Indonesia,Male,Rheumatic heart disease,90-94 years,0.738515300909057,0.823344028554857,age_group
Indonesia,Male,Rheumatic heart disease,95+ years,0.690281363204122,1.23369249585085,age_group
