location,year,cost_ref,cost_sap,incremental,deaths_avert,c_screen,c_sap,c_surgery
Indonesia,2025,27294228.2291883,27294228.2291883,0,0,15775113.97,6012121.51019426,5506992.74899406
Indonesia,2026,27282445.6571616,27282445.6571616,0,0,15892432.105,5862726.05203811,5527287.50012353
Indonesia,2027,27266431.9493346,40904950.4860013,13638518.5366667,115.468400393989,26009888.636875,9354922.7659393,5540139.08318696
Indonesia,2028,27245758.2108119,54494077.9261877,27248319.7153758,223.735336388158,36260460.72,12681647.3904892,5551969.8156985
Indonesia,2029,27220523.8617951,68054535.1210092,40834011.2592141,325.255773843831,46637766.05125,15854095.3858749,5562673.6838843
Indonesia,2030,27190958.1824413,81590687.1484115,54399728.9659702,420.456003680296,57136098.635,18882390.2607041,5572198.25270746
Indonesia,2031,27157455.4316186,95107309.051289,67949853.6196704,509.692209891231,67751362.26375,21775494.6680052,5580452.11953384
Indonesia,2032,27118448.289449,108603961.641255,81485513.3518057,593.276368037527,78477600.45125,24540087.9662061,5586273.22379854
Indonesia,2033,27074332.6987921,122083411.197247,95009078.4984547,671.531689863861,89311044.075,27182643.5593194,5589723.56292735
Indonesia,2034,27024718.1878721,135543530.985388,108518812.797516,744.771446030214,100243408.98,29709239.8256662,5590882.17972172
Indonesia,2035,26969681.2311106,148982921.63826,122013240.40715,813.297401582599,111267495.03375,32125536.2932531,5589890.31125728
Indonesia,2036,26909568.4753668,162401351.46899,135491782.993623,877.324458744822,122378312.1275,34436176.2742601,5586863.06723003
Indonesia,2037,26843263.3956593,175794264.89214,148951001.496481,937.050333550452,133570542.538125,36642956.296848,5580766.05716741
Indonesia,2038,26770631.2762402,189155028.246924,162384396.970683,992.731638584247,144833799.6325,38749358.4490206,5571870.16540285
Indonesia,2039,26692292.3963826,202482356.499572,175790064.10319,1044.62872632064,156162080.476875,40759841.2701681,5560434.75252925
Indonesia,2040,26608341.4587443,215769850.619376,189161509.160632,1092.99548098193,167544593.2875,42678496.2309981,5546761.10087813
Indonesia,2041,26519190.6611367,229013758.328151,202494567.667014,1137.98693929049,178974164.2975,44508484.3538157,5531109.67683512
Indonesia,2042,26423618.4386956,242202505.352929,215778886.914233,1179.75687078518,190439911.365,46250024.9807005,5512569.00722803
Indonesia,2043,26322326.2558388,255332847.461001,229010521.205163,1218.54094906749,201935028.095625,47906283.9413812,5491535.42399524
Indonesia,2044,26215590.5866845,268397163.156282,242181572.569597,1254.57811484652,213447314.85,49481476.3252734,5468371.98100821
Indonesia,2045,26103884.7076362,281389658.165628,255285773.457992,1288.09569642562,224967280.43625,50978908.3979226,5443469.3314557
Indonesia,2046,25987568.192507,294303725.494116,268316157.301609,1319.21893314687,236485389.4425,52401177.9426112,5417158.10900423
Indonesia,2047,25866309.2503199,307134867.646665,281268558.396345,1348.0782151326,247998075.69625,53748157.0147249,5388634.93569026
Indonesia,2048,25741283.3124621,319887197.268831,294145913.956369,1374.88587810341,259505981.80375,55022877.0264253,5358338.4386556
Indonesia,2049,25612359.451981,332547303.357537,306934943.905556,1399.8531012735,270991011.080625,56229636.0520502,5326656.22486129
Indonesia,2050,25480198.4181367,345113338.372931,319633139.954794,1423.17700249234,282447885.28,57371481.6481397,5293971.44479097
Indonesia,2051,25345175.3690928,344332595.796104,318987420.427011,1348.22052422831,282820310.96,56251634.4423047,5260650.39379934
Indonesia,2052,25207193.1619191,343500068.188206,318292875.026286,1277.61566197631,283131214.08,55148694.9954967,5220159.11270886
Indonesia,2053,25067149.8396092,342624032.505575,317556882.665966,1211.23256930004,283387037.12,54063594.8671688,5173400.51840571
Indonesia,2054,24925428.7106755,341705722.694173,316780293.983498,1148.92303774186,283586875.44,52997653.4390192,5121193.8151539
Indonesia,2055,24782647.8637681,340750570.035267,315967922.171498,1090.51780720053,283735038.4,51951198.1963616,5064333.43890494
Indonesia,2056,24639394.5562319,339764353.987664,315124959.431432,1035.80690373467,283836525.28,50924283.2088086,5003545.49885486
Indonesia,2057,24494952.4331175,338740560.33521,314245607.902092,984.597996635745,283886555.04,49915327.0499558,4938678.24525392
Indonesia,2058,24350305.6300171,337690996.747576,313340691.117559,936.722720345559,283895906.8,48924623.1241946,4870466.82338168
Indonesia,2059,24205463.0265715,336612968.036124,312407505.009553,892.006531860744,283860897.76,47952527.5120219,4799542.76410236
Indonesia,2060,24061177.9772429,335516022.405992,311454844.428749,850.267786223327,283790727.44,46998789.5072545,4726505.45873769
Indonesia,2061,23917483.8935464,334398863.555651,310481379.662105,811.325097127658,283683731.76,46063247.7174385,4651884.07821272
Indonesia,2062,23774487.6911259,333266734.077096,309492246.38597,775.008883811699,283546419.2,45144726.8950859,4575587.98201032
Indonesia,2063,23632552.5134961,332123499.530511,308490947.017015,741.151900603063,283382277.2,44243090.416703,4498131.91380779
Indonesia,2064,23491643.9181872,330967470.538694,307475826.620507,709.589739136989,283189238.64,43358293.9065773,4419937.99211653
Indonesia,2065,23352013.7140157,329801798.446608,306449784.732592,680.15960755149,282970384.4,42490019.9148871,4341394.1317207
Indonesia,2066,23213515.0313325,328623692.984469,305410177.953137,652.717540609137,282722874.72,41637986.366887,4262831.89758219
Indonesia,2067,23076037.4721523,327433074.245984,304357036.773831,627.126632536591,282447121.44,40801666.6977151,4184286.10826857
Indonesia,2068,22939741.7824492,326232423.993149,303292682.2107,603.245291556941,282145640.48,39980759.6579285,4106023.85522099
Indonesia,2069,22804617.7055738,325021878.242179,302217260.536605,580.939787705182,281818643.92,39174983.2116739,4028251.11050514
Indonesia,2070,22670823.3668057,323804221.62841,301133398.261604,560.082572887827,281468998.8,38384053.3317699,3951169.49663955
Indonesia,2071,22538211.0755609,322577675.368337,300039464.292776,540.565709866116,281095015.52,37607729.727558,3874930.12077928
Indonesia,2072,22406560.5912333,321339087.23985,298932526.648617,522.286180954119,280693422.24,36846003.6750462,3799661.32480362
Indonesia,2073,22275653.5122139,320086009.186399,297810355.674185,505.139597549984,280262112.24,36098459.7888346,3725437.15756414
Indonesia,2074,22145780.0134438,318824229.185267,296678449.171824,489.030953598435,279807127.6,35364801.1121312,3652300.47313619
Indonesia,2075,22016338.4656917,317545282.230847,295528943.765155,473.871571761288,279320286.96,34644714.2035373,3580281.06730907
Indonesia,2076,21887972.5256557,316260617.785403,294372645.259747,459.582275838503,278813162.32,33938056.766299,3509398.69910392
Indonesia,2077,21759876.6805254,314956230.441882,293196353.761357,446.087683238158,278271068.24,33245239.2779513,3439922.92393078
Indonesia,2078,21632460.608518,313640500.69641,292008040.087892,433.321242640116,277702964,32565766.6563617,3371770.04004818
Indonesia,2079,21505454.4646569,312310569.605912,290805115.141256,421.223911213525,277106276.48,31899409.6163156,3304883.50959681
Indonesia,2080,21379229.8038781,310973763.02974,289594533.225862,409.741301563827,276488688.96,31245867.1853188,3239206.88442085
Indonesia,2081,21253379.8470922,309624899.013202,288371519.16611,398.813370351666,275845247.04,30604971.5751366,3174680.39806589
Indonesia,2082,21127905.4699574,308262057.790203,287134152.320245,388.384386244931,275173190.16,29977210.185794,3111657.44440865
Indonesia,2083,21002760.2445742,306886603.897646,285883843.653072,378.42094487811,274474614.48,29362028.6056625,3049960.81198397
Indonesia,2084,20878047.7825637,305501802.022608,284623754.240044,368.893708609223,273753299.6,28759042.1453952,2989460.27721225
Indonesia,2085,20753601.7267995,304106419.251192,283352817.524393,359.77728719684,273008453.52,28167923.5829266,2930042.14826535
