location,year,cost_ref,cost_sap,incremental,deaths_avert,c_screen,c_sap,c_surgery
Uganda,2025,5118293.96174554,5118293.96174554,0,0,208286.784,271798.721688487,4638208.45605705
Uganda,2026,5536514.08988343,5536514.08988343,0,0,213804.972,280559.463039525,5042149.6548439
Uganda,2027,5917687.74467042,7669860.58219652,1752172.83752611,7.79667347393399,941373.684333333,1318750.23670203,5409736.66116116
Uganda,2028,6265424.69659574,9859611.35681815,3594186.66022241,16.297393222903,1705577.02466667,2409304.87298496,5744729.45916652
Uganda,2029,6583053.17322427,12103310.6856166,5520257.51239238,25.4139301067121,2506372.821,3546501.75380098,6050436.11081566
Uganda,2030,6873571.82844597,14399122.0118639,7525550.18341796,35.0691722741083,3343793.07,4725508.81284985,6329820.12901409
Uganda,2031,7139715.88391611,16745570.7531951,9605854.86927902,45.1960661433858,4217860.42733333,5942115.95611495,6585594.36974685
Uganda,2032,7383926.39813482,19140542.8628254,11756616.4646906,55.7365812495788,5127669.948,7192648.38417146,6820224.53065398
Uganda,2033,7608422.29634017,21582424.5932127,13974002.2968726,66.6403507184795,6072834.50716667,8473672.57991834,7035917.50612772
Uganda,2034,7815220.68371727,24070593.1475485,16255372.4638312,77.8636240810963,7054042.128,9781906.5789442,7234644.44060426
Uganda,2035,8006093.13913525,26604306.8391027,18598213.6999675,89.3683194800211,8071827.575,11114328.6659988,7418150.59810398
Uganda,2036,8182533.96571084,29180424.8976813,20997890.9319705,101.121244684828,9124261.124,12468182.8217033,7587980.95197801
Uganda,2037,8346017.23636542,31800718.3114403,23454701.0750749,113.093312577498,10214471.4051667,13840740.880491,7745506.02578258
Uganda,2038,8497652.57280752,34460658.6856797,25963006.1128722,125.258847878278,11339051.976,15229689.652013,7891917.05766675
Uganda,2039,8638493.09299327,37158275.0353776,28519781.9423843,137.594934380725,12497371.1085,16632642.4044461,8028261.52243142
Uganda,2040,8769524.55721193,39893549.7829195,31124025.2257076,150.081208631706,13690936.1133333,18047137.7693553,8155475.90023091
Uganda,2041,8891575.03481028,42666432.4969301,33774857.4621198,162.698883023942,14921089.105,19470995.0788242,8274348.31310596
Uganda,2042,9005207.10250315,45475615.6251432,36470408.5226401,175.428196331467,16188000.024,20902187.7554801,8385427.84566307
Uganda,2043,9110980.3064516,48319050.1864591,39208069.8800075,188.251906327468,17491230.2356667,22338545.2807926,8489274.66999981
Uganda,2044,9209343.44381601,51193053.0869069,41983709.6430909,201.153526123838,18828607,23778084.5931157,8586361.49379117
Uganda,2045,9300693.28478433,54093993.2433494,44793299.9585651,214.117117241029,20198366.7666667,25218527.152821,8677099.32386175
Uganda,2046,9385396.23455759,57022406.1974886,47637009.962931,227.126248004196,21603037.1773333,26657569.9100361,8761799.11011919
Uganda,2047,9463507.55684547,59975900.5494337,50512392.9925882,240.159503906403,23042412.459,28092983.9305977,8840504.159836
Uganda,2048,9535203.49186062,62950479.0813796,53415275.589519,253.199544366494,24514280.477,29522796.017044,8913402.58733559
Uganda,2049,9600603.89516762,65940017.3063937,56339413.411226,266.228978959227,26014420.7925,30944948.7390501,8980647.77484352
Uganda,2050,9659878.47802456,68944546.92415,59284668.4461254,279.22986745137,27545231.68,32356959.3172779,9042355.92687212
Uganda,2051,9713078.58540741,69474962.1239056,59761883.5384982,280.153610515689,27954827.2,32421563.0161095,9098571.90779614
Uganda,2052,9760136.66739124,69978047.6606952,60217910.9933039,280.907319997403,28361798.72,32467499.273101,9148749.66759422
Uganda,2053,9801048.1392731,70452283.8676741,60651235.728401,281.491784978783,28764265.92,32495134.1620229,9192883.78565127
Uganda,2054,9835784.06137942,70895279.2963787,61059495.2349992,281.907550967797,29159504.64,32504819.1596411,9230955.49673758
Uganda,2055,9864360.96459292,71306829.2476814,61442468.2830885,282.155632935853,29547149.12,32496715.1388665,9262964.98881489
Uganda,2056,9886741.14745455,71688308.864849,61801567.7173945,282.235023488127,29928605.76,32470866.5018049,9288836.60304414
Uganda,2057,9902828.83836665,72040946.6044012,62138117.7660346,282.14336169075,30305049.6,32427460.3799008,9308436.62450039
Uganda,2058,9912528.90815506,72363774.7941299,62451245.8859748,281.879181768933,30675302.4,32366811.439628,9321660.95450193
Uganda,2059,9915750.40992769,72654955.8060904,62739205.3961627,281.441430152328,31037421.76,32289112.9692527,9328421.07683766
Uganda,2060,9912350.59250675,72912696.761769,63000346.1692622,280.827613519142,31389657.28,32194465.0638691,9328574.41789982
Uganda,2061,9902272.03461715,73145064.7016821,63242792.6670649,280.034140905677,31740352.32,32082773.5214031,9321938.86027899
Uganda,2062,9885789.85552407,73346472.3958448,63460682.5403207,279.071703606479,32082708.16,31954909.7450062,9308854.49083856
Uganda,2063,9862763.38884248,73515807.3803428,63653043.9915003,277.937662209625,32415706.56,31810927.3884743,9289173.43186847
Uganda,2064,9833133.64048041,73656423.6424503,63823290.0019699,276.63009497578,32742804.48,31650844.6377054,9262774.52474496
Uganda,2065,9796751.15719482,73763451.4360284,63966700.2788336,275.147704438573,33058818.88,31475082.6443594,9229549.91166902
Uganda,2066,9753550.4340906,73842305.9406019,64088755.5065113,273.487784442198,33369310.08,31283651.0784349,9189344.782167
