year,screening,SAP,HF,surgery,total,total_ref,incremental
2026,30.8483256,3.12132899153126,0.637975427049584,16.9129089754469,51.5205389940277,51.5205389940277,0
2027,83.91612405,8.75887457668669,0.808002806169158,21.4203828756284,114.903384308484,56.2783220751986,58.6250622332857
2028,135.6701184,14.6154938112741,0.949881885548724,25.1816373900288,176.417131486852,60.5413113049116,115.87582018194
2029,186.55537125,20.6872954100128,1.06627728238178,28.2673122739387,236.576256216333,64.4511706126533,172.12508560368
2030,236.6362224,26.9711290486761,1.1595817310478,30.7408395923661,295.50777277209,68.0112762309563,227.496496541134
2031,234.74604,27.4581011678497,1.2456463680466,33.0224374562483,296.472224992145,71.2585737206626,225.213651271482
2032,233.0296176,27.9147617744293,1.32505500858282,35.1275829717489,297.397017354761,74.2126708572788,223.184346497482
2033,231.7070016,28.3402193275016,1.3982468874309,37.067920376944,298.513388191876,76.9260074430656,221.587380748811
2034,230.5781664,28.735081644811,1.4656858566931,38.8557465222303,299.634680423734,79.3982135808254,220.236466842909
2035,229.4675904,29.0997263066331,1.52779379639065,40.5022455662689,300.597356069293,81.6295895925845,218.967766476708
2036,228.4489872,29.4343475930268,1.58494800160913,42.0174197084683,301.485702503104,83.6492263815024,217.836476121602
2037,227.592312,29.7394083551263,1.63748904661231,43.4102976688675,302.379507070606,85.483787764865,216.895719305741
2038,226.8379248,30.0146014154396,1.68562522915611,44.6864014798777,303.224552924474,87.1386561638925,216.085896760581
2039,226.206768,30.260915073446,1.72963927774905,45.8532263542083,304.050548705403,88.6311944978489,215.419354207554
2040,225.5870448,30.4790664546803,1.7697938624588,46.9177357496308,304.75364086677,89.9609246779264,214.792716188843
2041,225.0506016,30.6696307135663,1.80632747260455,47.8862520854355,305.412811871606,91.1490137183362,214.26379815327
2042,224.584248,30.8335116355179,1.8394583610154,48.7645613058388,306.021779302372,92.2049314216463,213.816847880726
2043,224.1528192,30.9706074577363,1.86928058591786,49.5551569210229,306.547864164677,93.1308508504659,213.417013314211
2044,223.7640432,31.0819107592906,1.89598547250791,50.2631110160356,307.005050447834,93.9372357425402,213.067814705294
2045,223.3347984,31.1682758199179,1.91975476474833,50.8932416747226,307.316070659389,94.622538055689,212.6935326037
2046,222.8704944,31.2304672125102,1.94075424537319,51.4499438442442,307.491659702128,95.1954510750317,212.296208627096
2047,222.2837088,31.2694702966048,1.95913690762924,51.9372734188342,307.449589423068,95.6524134908002,211.797175932268
2048,221.576616,31.2853731481582,1.9749458260106,52.3563723155125,307.193307289681,95.9971868431383,211.196120446543
2049,220.7165952,31.2791951018633,1.98832215068889,52.7109824652421,306.695094917794,96.2322538307756,210.462841087019
2050,219.7204224,31.251909961376,1.99940111860802,53.0046890376483,305.976422517632,96.3658787360323,209.6105437816
2051,218.5995744,31.204392157116,2.00831009157296,53.2408684301958,305.053145078885,96.4052167449956,208.647928333889
2052,217.3729728,31.1376063135702,2.01516332090041,53.4225494775977,303.948291912068,96.3577843146464,207.590507597422
2053,216.0227472,31.0516640190885,2.01998962129062,53.5504960657058,302.644896906085,96.2235448882327,206.421352017852
2054,214.5673968,30.9475150360017,2.02290223155041,53.6277101873101,301.165524254862,96.0096759366954,205.155848318167
2055,212.9933328,30.8260523614591,2.0240093283915,53.6570596376282,299.500454127479,95.7190493117905,203.781404815688
2056,211.3630032,30.6880818997229,2.0234108525779,53.6411938745748,297.715689826876,95.3636537384341,202.352036088442
2057,209.6854512,30.5343732163303,2.02119429522944,53.5824323124771,295.823451024037,94.9483018398772,200.87514918416
2058,207.9915168,30.3650653501901,2.01738922546341,53.4815588369959,293.855530212649,94.4785624671282,199.376967745521
2059,206.2774128,30.1809012490514,2.01208378115597,53.3409100081516,291.811307838359,93.9575053653866,197.853802472972
2060,204.5905536,29.9826571441399,2.0053624213647,53.1627248594433,289.741298024948,93.3944064349909,196.346891589957
2061,202.9758624,29.7710091620454,1.99730204330882,52.9490419578977,287.693215563252,92.797906195453,194.895309367799
2062,201.4054608,29.5465134146678,1.98796440155372,52.7014984345059,285.641437050727,92.1669935039557,193.474443546772
2063,199.8894768,29.3095695660118,1.97739575117258,52.4213205243373,283.597762641522,91.5048721001413,192.09289054138
2064,198.4215504,29.0608280255112,1.96566394968773,52.1103071494981,281.558349524697,90.8133223985375,190.74502712616
2065,197.0288544,28.8009072767608,1.95283066114992,51.7700930414102,279.552685379321,90.0980667447773,189.454618634544
2066,195.7196832,28.5303785270406,1.93895316803211,51.4021967746301,277.591211669703,89.3622797730965,188.228931896606
2067,194.505312,28.2497095840068,1.92407692829135,51.0078234524538,275.686921964752,88.6090947074799,187.077827257272
2068,193.3700784,27.9596303239696,1.90827291806589,50.5888546723765,273.826836314412,87.8390625950741,185.987773719338
2069,192.312144,27.6606800856387,1.89159109826464,50.1466149122214,272.011030096125,87.0537575153816,184.957272580743
2070,191.336736,27.353397342499,1.87407857974536,49.6823530941491,270.246565016393,86.2555140931246,183.991050923269
2071,190.4095008,27.0382880048538,1.85577893126477,49.1972242382209,268.50079197434,85.4415804653179,183.059211509022
2072,189.4872336,26.715641823536,1.83671870136753,48.6919321538629,266.731526278766,84.6075371616969,182.12398911707
2073,188.6007456,26.3866031525857,1.81700054022285,48.1691981260877,264.973547418896,83.7605765542142,181.212970864682
2074,187.7079408,26.0515849811445,1.79665916702383,47.6299425705224,263.186127518691,82.8966332446105,180.28949427408
2075,186.8138064,25.7109673240227,1.77572270722427,47.0749111009004,261.375407532147,82.0173073991403,179.358100133007
2076,185.8899312,25.3651193158747,1.75422011147058,46.5048712070447,259.51414183439,81.1200331329017,178.394108701488
2077,184.938888,25.0142383666693,1.73216821351777,45.9202691565604,257.605563736748,80.2057292008328,177.399834535915
2078,183.9406368,24.6598918527442,1.70970321045724,45.3247155728543,255.634947436056,79.2761297437708,176.358817692285
2079,182.8972656,24.3023676081422,1.68684784664133,44.718813415138,253.605294469922,78.3322392156463,175.273055254275
2080,181.7862864,23.9419265519306,1.66361997348372,44.1030359294366,251.494868854851,77.3718322696316,174.123036585219
2081,180.6270816,23.5787959276878,1.64003812388289,43.4778744281293,249.3237900797,76.3979265238552,172.925863555845
2082,179.4073104,23.2130195528509,1.61610617595648,42.8434317212114,247.079867850019,75.4091256540109,171.670742196008
2083,178.1379264,22.8464338431637,1.59198584939653,42.2039950434491,244.780341136009,74.4116674005588,170.368673735451
2084,176.8404384,22.4791355103932,1.56768391181536,41.559743806159,242.447001628368,73.4084475069979,169.03855412137
2085,175.5136464,22.1111609705085,1.54320297488465,40.910747245496,240.078757590889,72.3993909186178,167.679366672271
2086,174.1713792,21.7425377863373,1.51854600826654,40.257084088043,237.689547082647,71.3863132698288,166.303233812818
2087,172.8319392,21.3732223554781,1.49371219395094,39.598732648121,235.29760639755,70.3714752667025,164.926131130848
2088,171.4872672,21.0052923396225,1.46888529786556,38.9405646124386,232.902009449927,69.3592533450434,163.542756104883
2089,170.1429312,20.6387090274506,1.44406263136961,38.2825087043679,230.508211563188,68.3502282156858,162.157983347502
2090,168.7978656,20.2733543640786,1.41923578142606,37.6243418919185,228.114797637423,67.3439784052068,160.770819232216
2091,167.476008,19.9091172046629,1.39439683620732,36.9658544303033,225.745376471174,66.3432308885125,159.402145582661
2092,166.1566848,19.5458616710864,1.36953712652709,36.3068164969425,223.378900094556,65.3451155750648,158.033784519491
2093,164.8870704,19.1855768415812,1.34483184354159,35.651872458927,221.06935154405,64.360530657507,156.708820886543
2094,163.668,18.8282143974503,1.32027692740092,35.0009146884883,218.81740601334,63.3894090163451,155.427996996994
2095,162.476328,18.4736532023373,1.29586275402014,34.3536880484131,216.599532004771,62.428522928466,154.171009076304
2096,161.3119104,18.1218123110793,1.2715837119516,33.7100437776372,214.415350200668,61.4776437822827,152.937706418385
2097,160.1808096,17.7726225306721,1.24743514001267,33.0698583068913,212.270725577576,60.5373488923363,151.73337668524
2098,159.0825216,17.4277814035124,1.22356472428506,32.4370468359633,210.170914563761,59.6116886546127,150.559225909148
2099,158.032464,17.0871469748518,1.19996068237311,31.8112970102126,208.130868667438,58.7021911323958,149.428677535042
2100,157.0251072,16.7505267403333,1.17660599460473,31.1921576333194,206.144397568257,57.8076211583259,148.336776409932
