year,rhd_deaths_avert,severe_avert,inc_cost,deaths_avert
2026,0,0,0,0
2027,115.378922487945,1203.79783256151,58625062.2332857,115.378922487945
2028,335.715167234168,3494.52640550268,115875820.18194,335.715167234168
2029,651.619300386303,6767.16792049208,172125085.60368,651.619300386303
2030,1054.64590498393,10927.5010796587,227496496.541134,1054.64590498393
2031,1412.87691105386,14594.6319618883,225213651.271482,1412.87691105386
2032,1730.85309630538,17818.9696311359,223184346.497482,1730.85309630538
2033,2012.52340295309,20646.0821494208,221587380.748811,2012.52340295309
2034,2261.48708121773,23116.8936591761,220236466.842909,2261.48708121773
2035,2480.97567222382,25268.040290164,218967766.476708,2480.97567222382
2036,2673.88115806484,27132.2933843636,217836476.121602,2673.88115806484
2037,2842.79734045487,28737.279295402,216895719.305741,2842.79734045487
2038,2989.88875606205,30109.2406879825,216085896.760581,2989.88875606205
2039,3117.24563841447,31271.9171737908,215419354.207554,3117.24563841447
2040,3226.7588368477,32246.6500269269,214792716.188843,3226.7588368477
2041,3320.12943304895,33052.572765351,214263798.15327,3320.12943304895
2042,3398.89183173773,33705.0053888166,213816847.880726,3398.89183173773
2043,3464.24846877408,34219.6030001452,213417013.314211,3464.24846877408
2044,3517.46366534118,34610.6129194584,213067814.705294,3517.46366534118
2045,3559.69079472689,34890.8544273754,212693532.6037,3559.69079472689
2046,3591.97029456462,35071.8398287221,212296208.627096,3591.97029456462
2047,3615.24451412926,35162.2568522314,211797175.932268,3615.24451412926
2048,3630.20257899373,35171.7373764302,211196120.446543,3630.20257899373
2049,3637.6416485512,35109.0668810091,210462841.087019,3637.6416485512
2050,3638.29303019278,34982.2202526218,209610543.7816,3638.29303019278
2051,3632.82353596173,34798.299651427,208647928.333889,3632.82353596173
2052,3621.83253985965,34562.5228554558,207590507.597422,3621.83253985965
2053,3605.74330608649,34281.0199797039,206421352.017852,3605.74330608649
2054,3585.0810757997,33959.3717482274,205155848.318167,3585.0810757997
2055,3560.3276201702,33602.6010806206,203781404.815688,3560.3276201702
2056,3531.91928307598,33215.1385640032,202352036.088442,3531.91928307598
2057,3500.24405408976,32800.2867829877,200875149.18416,3500.24405408976
2058,3465.58121331508,32361.9077031409,199376967.745521,3465.58121331508
2059,3428.27533666304,31903.4910562815,197853802.472972,3428.27533666304
2060,3388.64244749407,31428.1486840742,196346891.589957,3388.64244749407
2061,3346.96639550653,30938.5354435674,194895309.367799,3346.96639550653
2062,3303.49065345031,30436.9491964819,193474443.546772,3303.49065345031
2063,3258.42625956499,29925.7530008669,192092890.54138,3258.42625956499
2064,3211.99710088548,29407.0257455131,190745027.12616,3211.99710088548
2065,3164.40318975892,28882.620348951,189454618.634544,3164.40318975892
2066,3115.82521368234,28354.0993115428,188228931.896606,3115.82521368234
2067,3066.41700951049,27823.2189461809,187077827.257272,3066.41700951049
2068,3016.35779714415,27291.3480949421,185987773.719338,3016.35779714415
2069,2965.78801418532,26759.6890921525,184957272.580743,2965.78801418532
2070,2914.83416630808,26229.304756058,183991050.923269,2914.83416630808
2071,2863.61027416621,25701.0091492596,183059211.509022,2863.61027416621
2072,2812.20369000272,25176.2538760869,182123989.11707,2812.20369000272
2073,2760.78056356532,24655.7657883488,181212970.864682,2760.78056356532
2074,2709.42405882332,24140.133384881,180289494.27408,2709.42405882332
2075,2658.20422066198,23629.9051861644,179358100.133007,2658.20422066198
2076,2607.18740990825,23125.5021251808,178394108.701488,2607.18740990825
2077,2556.42461533007,22628.1375406542,177399834.535915,2556.42461533007
2078,2506.07220590275,22138.1387081382,176358817.692285,2506.07220590275
2079,2456.17485000426,21655.7502497729,175273055.254275,2456.17485000426
2080,2406.76886149729,21181.2070215465,174123036.585219,2406.76886149729
2081,2357.88882616069,20714.6470705399,172925863.555845,2357.88882616069
2082,2309.55604663819,20256.9589243859,171670742.196008,2309.55604663819
2083,2261.9039977116,19808.1937670215,170368673.735451,2261.9039977116
2084,2214.94677108676,19368.3628677622,169038554.12137,2214.94677108676
2085,2168.69320506421,18937.4901107928,167679366.672271,2168.69320506421
2086,2123.15282728648,18515.5939249949,166303233.812818,2123.15282728648
2087,2078.33293137586,18103.1850893933,164926131.130848,2078.33293137586
2088,2034.3370492894,17700.150267988,163542756.104883,2034.3370492894
2089,1991.15963477739,17306.3497120485,162157983.347502,1991.15963477739
2090,1948.79065428723,16921.6700321669,160770819.232216,1948.79065428723
2091,1907.22237714378,16546.0095499204,159402145.582661,1907.22237714378
2092,1866.44747994211,16179.4071166882,158033784.519491,1866.44747994211
2093,1826.52164556912,15821.6855985904,156708820.886543,1826.52164556912
2094,1787.43143730015,15472.6565246762,155427996.996994,1787.43143730015
2095,1749.16046312801,15132.1642079506,154171009.076305,1749.16046312801
2096,1711.69612932127,14800.0613558716,152937706.418385,1711.69612932127
2097,1675.02674235822,14476.0234419994,151733376.68524,1675.02674235822
2098,1639.16432594526,14159.8497515987,150559225.909148,1639.16432594526
2099,1604.08937025732,13851.3452730133,149428677.535042,1604.08937025732
2100,1569.78154994819,13550.3475705222,148336776.409932,1569.78154994819
