location,year,cost_ref,cost_sap,incremental,deaths_avert,c_screen,c_sap,c_surgery
Indonesia,2025,36776916.8130435,36776916.8130435,0,0,15775113.97,6012121.51019426,14989681.3328492
Indonesia,2026,36950266.2646447,36950266.2646447,0,0,15892432.105,6125428.65013303,14932405.5095117
Indonesia,2027,37071805.5346746,51036707.1928283,13964901.6581537,218.230606185849,26009888.636875,10194958.0130451,14831860.5429081
Indonesia,2028,37148578.7264391,65363986.0778992,28215407.3514601,419.532024443268,36260460.72,14394007.3622535,14709517.9956457
Indonesia,2029,37187318.8703427,79923884.4400928,42736565.56975,604.480119871496,46637766.05125,18715470.795763,14570647.5930797
Indonesia,2030,37194108.5260391,94708299.1346009,57514190.6085618,773.883393651422,57136098.635,23152377.1022141,14419823.3973868
Indonesia,2031,37174510.4499925,109709806.686341,72535296.2363482,928.715846993231,67751362.26375,27697482.0211522,14260962.4014385
Indonesia,2032,37131642.6793359,124916164.401069,87784521.7217327,1069.9904497215,78477600.45125,32342086.0854582,14096477.8643604
Indonesia,2033,37069775.4272694,140318276.380927,103248500.953657,1198.8351466625,89311044.075,37077983.6644526,13929248.6414743
Indonesia,2034,36991866.4190055,155902305.629718,118910439.210713,1316.41505881295,100243408.98,41897187.8117383,13761708.8379797
Indonesia,2035,36900822.8574464,171654887.502557,134754064.645111,1423.90907236536,111267495.03375,46791424.7940246,13595967.6747828
Indonesia,2036,36799440.5727292,187563931.879468,150764491.306739,1522.48097456634,122378312.1275,51751831.9979495,13433787.7540185
Indonesia,2037,36688600.2069765,203611695.155633,166923094.948657,1613.13508316665,133570542.538125,56765537.3308991,13275615.2866093
Indonesia,2038,36569827.7015523,219779450.306149,183209622.604597,1696.94380418377,144833799.6325,61822939.8816876,13122710.7919617
Indonesia,2039,36445227.9511349,236055101.782357,199609873.831222,1774.930980522,156162080.476875,66916935.5669046,12976085.7385771
Indonesia,2040,36316158.6656381,252422126.733752,216105968.068114,1848.07078886863,167544593.2875,72040919.6956673,12836613.7505846
Indonesia,2041,36184110.8798604,268867453.771942,232683342.892082,1917.27295268645,178974164.2975,77188306.4541796,12704983.0202623
Indonesia,2042,36048575.0737125,285368341.687759,249319766.614046,1983.21572517925,190439911.365,82347760.0237107,12580670.2990479
Indonesia,2043,35910810.702041,301912337.05489,266001526.352849,2046.66919131248,201935028.095625,87513173.3329286,12464135.6263365
Indonesia,2044,35771361.1167324,318481415.517384,282710054.400652,2108.33335812273,213447314.85,92678403.4926295,12355697.1747546
Indonesia,2045,35630888.7651973,335059987.360048,299429098.594851,2168.85142730348,224967280.43625,97837072.6669157,12255634.2568827
Indonesia,2046,35489857.1806238,351631998.954914,316142141.77429,2228.79912730281,236485389.4425,102982489.532208,12164119.9802054
Indonesia,2047,35347872.7406885,368182125.786091,332834253.045403,2288.51449131257,247998075.69625,108103804.69483,12080245.3950117
Indonesia,2048,35205922.9668471,384704730.150343,349498807.183496,2348.45001932978,259505981.80375,113194654.684146,12004093.6624469
Indonesia,2049,35063580.8978177,401176283.27021,366112702.372392,2408.99701739523,270991011.080625,118249625.445651,11935646.7439339
Indonesia,2050,34921208.4798339,417585353.709821,382664145.229987,2470.49886232034,282447885.28,123262589.615559,11874878.814262
